#    L    TT             EE             BB             TE             PP             PT             PE         
    54    1.59239E+03    1.69167E-01    1.61481E-02   -1.05048E+00    1.32797E-07    7.48113E-04   -8.36340E-07
    55    1.61193E+03    1.78539E-01    1.65008E-02   -1.30376E+00    1.32209E-07    7.34109E-04   -8.73421E-07
    56    1.63168E+03    1.88198E-01    1.68474E-02   -1.57044E+00    1.31609E-07    7.20773E-04   -8.29248E-07
    57    1.65173E+03    1.98141E-01    1.71877E-02   -1.85117E+00    1.30999E-07    7.08048E-04   -7.25025E-07
    58    1.67205E+03    2.08369E-01    1.75213E-02   -2.14581E+00    1.30378E-07    6.95846E-04   -5.91632E-07
    59    1.69255E+03    2.18881E-01    1.78479E-02   -2.45392E+00    1.29748E-07    6.84085E-04   -4.59892E-07
    60    1.71321E+03    2.29673E-01    1.81671E-02   -2.77466E+00    1.29109E-07    6.72679E-04   -3.60576E-07
    61    1.73405E+03    2.40738E-01    1.84786E-02   -3.10728E+00    1.28461E-07    6.61551E-04   -3.17098E-07
    62    1.75507E+03    2.52071E-01    1.87821E-02   -3.45184E+00    1.27806E-07    6.50646E-04   -3.23625E-07
    63    1.77629E+03    2.63672E-01    1.90777E-02   -3.80858E+00    1.27144E-07    6.39919E-04   -3.67037E-07
    64    1.79772E+03    2.75537E-01    1.93651E-02   -4.17776E+00    1.26477E-07    6.29323E-04   -4.34239E-07
    65    1.81938E+03    2.87666E-01    1.96441E-02   -4.55967E+00    1.25806E-07    6.18811E-04   -5.12155E-07
    66    1.84131E+03    3.00050E-01    1.99147E-02   -4.95462E+00    1.25131E-07    6.08359E-04   -5.89116E-07
    67    1.86349E+03    3.12682E-01    2.01765E-02   -5.36205E+00    1.24453E-07    5.98032E-04   -6.59024E-07
    68    1.88589E+03    3.25552E-01    2.04295E-02   -5.78115E+00    1.23772E-07    5.87917E-04   -7.17174E-07
    69    1.90846E+03    3.38649E-01    2.06734E-02   -6.21118E+00    1.23090E-07    5.78102E-04   -7.58869E-07
    70    1.93117E+03    3.51966E-01    2.09079E-02   -6.65156E+00    1.22405E-07    5.68673E-04   -7.79414E-07
    71    1.95400E+03    3.65498E-01    2.11330E-02   -7.10207E+00    1.21720E-07    5.59695E-04   -7.76016E-07
    72    1.97705E+03    3.79241E-01    2.13486E-02   -7.56368E+00    1.21033E-07    5.51138E-04   -7.53465E-07
    73    2.00046E+03    3.93191E-01    2.15547E-02   -8.03746E+00    1.20345E-07    5.42950E-04   -7.18437E-07
    74    2.02423E+03    4.07336E-01    2.17514E-02   -8.52339E+00    1.19656E-07    5.35080E-04   -6.77603E-07
    75    2.04836E+03    4.21665E-01    2.19386E-02   -9.02113E+00    1.18966E-07    5.27476E-04   -6.37622E-07
    76    2.07282E+03    4.36165E-01    2.21165E-02   -9.53022E+00    1.18275E-07    5.20087E-04   -6.04454E-07
    77    2.09747E+03    4.50824E-01    2.22849E-02   -1.00492E+01    1.17584E-07    5.12875E-04   -5.81271E-07
    78    2.12230E+03    4.65630E-01    2.24437E-02   -1.05776E+01    1.16892E-07    5.05798E-04   -5.70546E-07
    79    2.14735E+03    4.80570E-01    2.25931E-02   -1.11151E+01    1.16200E-07    4.98820E-04   -5.74751E-07
    80    2.17265E+03    4.95634E-01    2.27328E-02   -1.16618E+01    1.15509E-07    4.91902E-04   -5.96355E-07
    81    2.19822E+03    5.10808E-01    2.28629E-02   -1.22174E+01    1.14819E-07    4.85016E-04   -6.36386E-07
    82    2.22407E+03    5.26083E-01    2.29833E-02   -1.27815E+01    1.14130E-07    4.78180E-04   -6.90109E-07
    83    2.25017E+03    5.41448E-01    2.30941E-02   -1.33537E+01    1.13443E-07    4.71426E-04   -7.51357E-07
    84    2.27654E+03    5.56893E-01    2.31954E-02   -1.39337E+01    1.12757E-07    4.64783E-04   -8.13965E-07
    85    2.30316E+03    5.72405E-01    2.32870E-02   -1.45211E+01    1.12073E-07    4.58280E-04   -8.71775E-07
    86    2.33002E+03    5.87977E-01    2.33692E-02   -1.51153E+01    1.11392E-07    4.51943E-04   -9.19836E-07
    87    2.35711E+03    6.03593E-01    2.34419E-02   -1.57160E+01    1.10714E-07    4.45770E-04   -9.58003E-07
    88    2.38439E+03    6.19240E-01    2.35053E-02   -1.63225E+01    1.10038E-07    4.39755E-04   -9.87335E-07
    89    2.41188E+03    6.34906E-01    2.35593E-02   -1.69345E+01    1.09364E-07    4.33894E-04   -1.00889E-06
    90    2.43959E+03    6.50572E-01    2.36041E-02   -1.75516E+01    1.08694E-07    4.28180E-04   -1.02371E-06
    91    2.46752E+03    6.66224E-01    2.36397E-02   -1.81734E+01    1.08027E-07    4.22607E-04   -1.03277E-06
    92    2.49567E+03    6.81848E-01    2.36664E-02   -1.87996E+01    1.07362E-07    4.17170E-04   -1.03664E-06
    93    2.52406E+03    6.97429E-01    2.36843E-02   -1.94297E+01    1.06701E-07    4.11865E-04   -1.03577E-06
    94    2.55269E+03    7.12954E-01    2.36936E-02   -2.00636E+01    1.06043E-07    4.06687E-04   -1.03064E-06
    95    2.58156E+03    7.28409E-01    2.36946E-02   -2.07008E+01    1.05388E-07    4.01632E-04   -1.02173E-06
    96    2.61067E+03    7.43780E-01    2.36874E-02   -2.13408E+01    1.04737E-07    3.96695E-04   -1.00950E-06
    97    2.64003E+03    7.59052E-01    2.36723E-02   -2.19832E+01    1.04089E-07    3.91871E-04   -9.94415E-07
    98    2.66963E+03    7.74210E-01    2.36495E-02   -2.26277E+01    1.03444E-07    3.87157E-04   -9.76953E-07
    99    2.69946E+03    7.89240E-01    2.36191E-02   -2.32737E+01    1.02803E-07    3.82546E-04   -9.57580E-07
   100    2.72954E+03    8.04130E-01    2.35814E-02   -2.39208E+01    1.02165E-07    3.78035E-04   -9.36763E-07
   101    2.75985E+03    8.18867E-01    2.35366E-02   -2.45684E+01    1.01531E-07    3.73620E-04   -9.14970E-07
   102    2.79040E+03    8.33429E-01    2.34848E-02   -2.52163E+01    1.00901E-07    3.69295E-04   -8.92668E-07
   103    2.82117E+03    8.47814E-01    2.34263E-02   -2.58638E+01    1.00274E-07    3.65057E-04   -8.70326E-07
   104    2.85216E+03    8.61996E-01    2.33613E-02   -2.65104E+01    9.96509E-08    3.60899E-04   -8.48411E-07
   105    2.88336E+03    8.75965E-01    2.32900E-02   -2.71556E+01    9.90317E-08    3.56820E-04   -8.27388E-07
   106    2.91478E+03    8.89708E-01    2.32126E-02   -2.77987E+01    9.84163E-08    3.52812E-04   -8.07725E-07
   107    2.94640E+03    9.03218E-01    2.31293E-02   -2.84395E+01    9.78048E-08    3.48873E-04   -7.89889E-07
   108    2.97820E+03    9.16473E-01    2.30403E-02   -2.90772E+01    9.71973E-08    3.44997E-04   -7.74345E-07
   109    3.01020E+03    9.29466E-01    2.29458E-02   -2.97113E+01    9.65939E-08    3.41181E-04   -7.61559E-07
   110    3.04238E+03    9.42174E-01    2.28461E-02   -3.03413E+01    9.59947E-08    3.37419E-04   -7.51997E-07
   111    3.07474E+03    9.54592E-01    2.27412E-02   -3.09668E+01    9.53996E-08    3.33708E-04   -7.46004E-07
