#    L    TT             EE             BB             TE         
     2    1.54746E+03    4.80748E-02    1.80489E-02    3.40975E+00
     3    1.39041E+03    6.54691E-02    1.89974E-02    3.30218E+00
     4    1.31045E+03    6.37115E-02    1.70990E-02    3.04159E+00
     5    1.25943E+03    4.93846E-02    1.38238E-02    2.62161E+00
     6    1.22682E+03    3.24360E-02    1.03733E-02    2.15342E+00
     7    1.20716E+03    1.93804E-02    7.47855E-03    1.71406E+00
     8    1.19601E+03    1.19373E-02    5.42564E-03    1.34528E+00
     9    1.19128E+03    8.78186E-03    4.21249E-03    1.06219E+00
    10    1.19118E+03    7.82773E-03    3.69497E-03    8.68966E-01
    11    1.19376E+03    7.62750E-03    3.68433E-03    7.55502E-01
    12    1.19918E+03    7.64721E-03    4.01418E-03    7.09109E-01
    13    1.20562E+03    7.83752E-03    4.55266E-03    7.11561E-01
    14    1.21339E+03    8.32290E-03    5.21537E-03    7.31497E-01
    15    1.22188E+03    9.10943E-03    5.95219E-03    7.60308E-01
    16    1.23255E+03    1.01089E-02    6.73697E-03    7.92859E-01
    17    1.24485E+03    1.12640E-02    7.55868E-03    8.22745E-01
    18    1.25737E+03    1.25444E-02    8.41033E-03    8.46727E-01
    19    1.27083E+03    1.39848E-02    9.29017E-03    8.67957E-01
    20    1.28369E+03    1.56129E-02    1.01976E-02    8.82088E-01
    21    1.29673E+03    1.74450E-02    1.11314E-02    8.95316E-01
    22    1.31004E+03    1.95019E-02    1.20900E-02    9.09976E-01
    23    1.32325E+03    2.17611E-02    1.30717E-02    9.25934E-01
    24    1.33666E+03    2.42028E-02    1.40746E-02    9.42098E-01
    25    1.35042E+03    2.68276E-02    1.50966E-02    9.51547E-01
    26    1.36408E+03    2.96442E-02    1.61362E-02    9.58051E-01
    27    1.37804E+03    3.26466E-02    1.71932E-02    9.61020E-01
    28    1.39213E+03    3.58143E-02    1.82678E-02    9.53962E-01
    29    1.40628E+03    3.91806E-02    1.93592E-02    9.40376E-01
    30    1.42067E+03    4.27829E-02    2.04663E-02    9.12215E-01
    31    1.43474E+03    4.66122E-02    2.15878E-02    8.79229E-01
    32    1.44931E+03    5.06783E-02    2.27222E-02    8.35874E-01
    33    1.46383E+03    5.49456E-02    2.38677E-02    7.81999E-01
    34    1.47827E+03    5.94462E-02    2.50223E-02    7.20610E-01
    35    1.49321E+03    6.41906E-02    2.61821E-02    6.44963E-01
    36    1.50777E+03    6.92057E-02    2.73442E-02    5.67067E-01
    37    1.52248E+03    7.44951E-02    2.85105E-02    4.79761E-01
    38    1.53745E+03    8.00285E-02    2.96832E-02    3.83311E-01
    39    1.55258E+03    8.58100E-02    3.08593E-02    2.77266E-01
    40    1.56780E+03    9.18550E-02    3.20349E-02    1.59970E-01
    41    1.58302E+03    9.81766E-02    3.32064E-02    3.03472E-02
    42    1.59824E+03    1.04779E-01    3.43724E-02   -1.10444E-01
    43    1.61349E+03    1.11663E-01    3.55320E-02   -2.61083E-01
    44    1.62883E+03    1.18828E-01    3.66844E-02   -4.21855E-01
    45    1.64431E+03    1.26271E-01    3.78286E-02   -5.93350E-01
    46    1.65992E+03    1.33987E-01    3.89636E-02   -7.75727E-01
    47    1.67563E+03    1.41982E-01    4.00881E-02   -9.69277E-01
    48    1.69144E+03    1.50256E-01    4.12006E-02   -1.17435E+00
    49    1.70733E+03    1.58809E-01    4.22995E-02   -1.39120E+00
