     2    0.10829E+04    0.38744E-01    0.65173E-03    0.29550E+01
     3    0.10206E+04    0.55137E-01    0.68168E-03    0.34444E+01
     4    0.96298E+03    0.53842E-01    0.61182E-03    0.33580E+01
     5    0.91962E+03    0.41107E-01    0.49530E-03    0.29702E+01
     6    0.88940E+03    0.26116E-01    0.37470E-03    0.24781E+01
     7    0.86965E+03    0.14784E-01    0.27543E-03    0.19990E+01
     8    0.85736E+03    0.85085E-02    0.20708E-03    0.15950E+01
     9    0.85094E+03    0.58926E-02    0.16915E-03    0.12878E+01
    10    0.84891E+03    0.49615E-02    0.15628E-03    0.10814E+01
    11    0.84981E+03    0.44366E-02    0.16168E-03    0.96728E+00
    12    0.85412E+03    0.40205E-02    0.17930E-03    0.93055E+00
    13    0.86015E+03    0.34934E-02    0.20493E-03    0.94535E+00
    14    0.86699E+03    0.32782E-02    0.23520E-03    0.98522E+00
    15    0.87502E+03    0.33467E-02    0.26859E-03    0.10392E+01
    16    0.88473E+03    0.35506E-02    0.30416E-03    0.11010E+01
    17    0.89609E+03    0.39319E-02    0.34152E-03    0.11646E+01
    18    0.90816E+03    0.43955E-02    0.38048E-03    0.12264E+01
    19    0.92175E+03    0.49572E-02    0.42097E-03    0.12859E+01
    20    0.93519E+03    0.57010E-02    0.46297E-03    0.13412E+01
    21    0.94883E+03    0.66066E-02    0.50645E-03    0.13973E+01
    22    0.96300E+03    0.77073E-02    0.55135E-03    0.14583E+01
    23    0.97750E+03    0.89948E-02    0.59763E-03    0.15227E+01
    24    0.99240E+03    0.10426E-01    0.64521E-03    0.15875E+01
    25    0.10077E+04    0.12031E-01    0.69405E-03    0.16508E+01
    26    0.10231E+04    0.13811E-01    0.74407E-03    0.17120E+01
    27    0.10390E+04    0.15747E-01    0.79530E-03    0.17681E+01
    28    0.10551E+04    0.17845E-01    0.84772E-03    0.18170E+01
    29    0.10716E+04    0.20120E-01    0.90132E-03    0.18580E+01
    30    0.10882E+04    0.22594E-01    0.95606E-03    0.18895E+01
    31    0.11050E+04    0.25276E-01    0.10119E-02    0.19125E+01
    32    0.11221E+04    0.28160E-01    0.10688E-02    0.19280E+01
    33    0.11396E+04    0.31249E-01    0.11267E-02    0.19338E+01
    34    0.11573E+04    0.34560E-01    0.11855E-02    0.19289E+01
    35    0.11751E+04    0.38112E-01    0.12451E-02    0.19163E+01
    36    0.11929E+04    0.41926E-01    0.13054E-02    0.18980E+01
    37    0.12109E+04    0.45988E-01    0.13665E-02    0.18709E+01
    38    0.12293E+04    0.50287E-01    0.14284E-02    0.18336E+01
    39    0.12480E+04    0.54828E-01    0.14910E-02    0.17856E+01
    40    0.12669E+04    0.59625E-01    0.15543E-02    0.17270E+01
    41    0.12860E+04    0.64696E-01    0.16180E-02    0.16572E+01
    42    0.13051E+04    0.70049E-01    0.16822E-02    0.15754E+01
    43    0.13243E+04    0.75691E-01    0.17469E-02    0.14807E+01
    44    0.13435E+04    0.81614E-01    0.18119E-02    0.13732E+01
    45    0.13631E+04    0.87819E-01    0.18772E-02    0.12528E+01
    46    0.13830E+04    0.94311E-01    0.19429E-02    0.11178E+01
    47    0.14030E+04    0.10109E+00    0.20089E-02    0.96932E+00
    48    0.14231E+04    0.10815E+00    0.20751E-02    0.81159E+00
    49    0.14434E+04    0.11548E+00    0.21415E-02    0.64838E+00
    50    0.14640E+04    0.12305E+00    0.22080E-02    0.47663E+00
    51    0.14848E+04    0.13084E+00    0.22746E-02    0.29181E+00
    52    0.15060E+04    0.13892E+00    0.23412E-02    0.89047E-01
    53    0.15272E+04    0.14746E+00    0.24079E-02   -0.13476E+00
    54    0.15483E+04    0.15643E+00    0.24745E-02   -0.37474E+00
    55    0.15696E+04    0.16583E+00    0.25412E-02   -0.62592E+00
    56    0.15912E+04    0.17551E+00    0.26077E-02   -0.88954E+00
    57    0.16131E+04    0.18536E+00    0.26742E-02   -0.11655E+01
    58    0.16353E+04    0.19538E+00    0.27406E-02   -0.14544E+01
    59    0.16577E+04    0.20562E+00    0.28067E-02   -0.17572E+01
    60    0.16802E+04    0.21611E+00    0.28727E-02   -0.20730E+01
    61    0.17032E+04    0.22696E+00    0.29385E-02   -0.24011E+01
    62    0.17261E+04    0.23814E+00    0.30040E-02   -0.27425E+01
    63    0.17492E+04    0.24963E+00    0.30692E-02   -0.30982E+01
    64    0.17726E+04    0.26143E+00    0.31341E-02   -0.34694E+01
    65    0.17961E+04    0.27352E+00    0.31988E-02   -0.38567E+01
    66    0.18199E+04    0.28584E+00    0.32631E-02   -0.42585E+01
    67    0.18439E+04    0.29839E+00    0.33272E-02   -0.46720E+01
    68    0.18683E+04    0.31121E+00    0.33908E-02   -0.50956E+01
    69    0.18929E+04    0.32425E+00    0.34541E-02   -0.55278E+01
    70    0.19178E+04    0.33755E+00    0.35170E-02   -0.59703E+01
    71    0.19428E+04    0.35111E+00    0.35795E-02   -0.64256E+01
    72    0.19680E+04    0.36488E+00    0.36416E-02   -0.68950E+01
    73    0.19934E+04    0.37885E+00    0.37033E-02   -0.73788E+01
    74    0.20190E+04    0.39299E+00    0.37646E-02   -0.78761E+01
    75    0.20450E+04    0.40732E+00    0.38255E-02   -0.83852E+01
    76    0.20712E+04    0.42183E+00    0.38860E-02   -0.89054E+01
    77    0.20978E+04    0.43652E+00    0.39462E-02   -0.94363E+01
    78    0.21247E+04    0.45142E+00    0.40059E-02   -0.99795E+01
    79    0.21518E+04    0.46646E+00    0.40653E-02   -0.10531E+02
    80    0.21793E+04    0.48166E+00    0.41242E-02   -0.11093E+02
