#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
 265     3.57711e-01     3.49267e-03    -1.75608e-03     1.61373e-02     1.10794e-03    -3.26926e-03
 266     3.51343e-01     2.98267e-03    -1.63352e-03     1.54337e-02     9.09343e-04    -3.50426e-03
 267     3.44167e-01     2.49443e-03    -1.35296e-03     1.46717e-02     5.89823e-04    -3.65155e-03
 268     3.36260e-01     2.03019e-03    -9.47234e-04     1.38816e-02     1.65793e-04    -3.70015e-03
 269     3.27814e-01     1.58945e-03    -4.64170e-04     1.31186e-02    -3.30568e-04    -3.65580e-03
 270     3.19140e-01     1.17253e-03     4.09027e-05     1.24529e-02    -8.55482e-04    -3.54068e-03
 271     3.10571e-01     7.83066e-04     5.15029e-04     1.19509e-02    -1.36115e-03    -3.38730e-03
 272     3.02434e-01     4.29328e-04     9.16243e-04     1.16611e-02    -1.80423e-03    -3.23029e-03
 273     2.94954e-01     1.23337e-04     1.21825e-03     1.16022e-02    -2.15194e-03    -3.09708e-03
 274     2.88295e-01    -1.21054e-04     1.41084e-03     1.17635e-02    -2.38518e-03    -3.00266e-03
 275     2.82518e-01    -2.90796e-04     1.49669e-03     1.21081e-02    -2.49779e-03    -2.94688e-03
 276     2.77619e-01    -3.75978e-04     1.48709e-03     1.25802e-02    -2.49418e-03    -2.91558e-03
 277     2.73539e-01    -3.71690e-04     1.39786e-03     1.31129e-02    -2.38628e-03    -2.88345e-03
 278     2.70225e-01    -2.79455e-04     1.24675e-03     1.36364e-02    -2.19133e-03    -2.81864e-03
 279     2.67606e-01    -1.08039e-04     1.05157e-03     1.40816e-02    -1.92976e-03    -2.68693e-03
 280     2.65600e-01     1.26169e-04     8.29638e-04     1.43850e-02    -1.62404e-03    -2.45684e-03
 281     2.64159e-01     3.99549e-04     5.97853e-04     1.44962e-02    -1.29805e-03    -2.10542e-03
 282     2.63201e-01     6.82660e-04     3.72376e-04     1.43789e-02    -9.75689e-04    -1.62294e-03
 283     2.62690e-01     9.43083e-04     1.68504e-04     1.40209e-02    -6.79817e-04    -1.01788e-03
 284     2.62553e-01     1.14927e-03    -3.82706e-07     1.34326e-02    -4.30077e-04    -3.18656e-04
 285     2.62738e-01     1.27541e-03    -1.24108e-04     1.26512e-02    -2.41036e-04     4.27127e-04
 286     2.63162e-01     1.30567e-03    -1.97317e-04     1.17339e-02    -1.20345e-04     1.15758e-03
 287     2.63770e-01     1.23753e-03    -2.20919e-04     1.07541e-02    -6.78947e-05     1.80455e-03
 288     2.64506e-01     1.08247e-03    -2.02916e-04     9.78972e-03    -7.60320e-05     2.30316e-03
 289     2.65300e-01     8.64317e-04    -1.58378e-04     8.91284e-03    -1.30960e-04     2.60009e-03
 290     2.66111e-01     6.16123e-04    -1.08636e-04     8.18374e-03    -2.14877e-04     2.65997e-03
 291     2.66881e-01     3.75846e-04    -7.97156e-05     7.64470e-03    -3.08271e-04     2.46760e-03
 292     2.67536e-01     1.82434e-04    -1.00254e-04     7.31911e-03    -3.91977e-04     2.02797e-03
 293     2.68034e-01     7.23797e-05    -1.98861e-04     7.21375e-03    -4.48886e-04     1.36495e-03
 294     2.68236e-01     7.66599e-05    -4.00656e-04     7.31717e-03    -4.65023e-04     5.18100e-04
 295     2.68037e-01     2.17976e-04    -7.23029e-04     7.60553e-03    -4.30836e-04    -4.58607e-04
 296     2.67259e-01     5.07627e-04    -1.17036e-03     8.04109e-03    -3.42066e-04    -1.49976e-03
 297     2.65759e-01     9.42438e-04    -1.72917e-03     8.57761e-03    -2.00913e-04    -2.53209e-03
 298     2.63389e-01     1.50227e-03    -2.36449e-03     9.16226e-03    -1.65128e-05    -3.48023e-03
 299     2.60121e-01     2.15018e-03    -3.02129e-03     9.74474e-03     1.95399e-04    -4.27597e-03
 300     2.55990e-01     2.83539e-03    -3.63025e-03     1.02826e-02     4.14369e-04    -4.86710e-03
 301     2.51190e-01     3.50077e-03    -4.12015e-03     1.07516e-02     6.18452e-04    -5.22631e-03
 302     2.46027e-01     4.09183e-03    -4.43128e-03     1.11491e-02     7.88026e-04    -5.35407e-03
 303     2.40869e-01     4.56462e-03    -4.52611e-03     1.14935e-02     9.08922e-04    -5.27519e-03
 304     2.36089e-01     4.89010e-03    -4.39376e-03     1.18179e-02     9.73904e-04    -5.03048e-03
 305     2.32045e-01     5.05522e-03    -4.04881e-03     1.21639e-02     9.82609e-04    -4.66803e-03
 306     2.28995e-01     5.05894e-03    -3.52402e-03     1.25696e-02     9.39857e-04    -4.23368e-03
 307     2.27130e-01     4.90931e-03    -2.86389e-03     1.30659e-02     8.54043e-04    -3.76742e-03
 308     2.26528e-01     4.61908e-03    -2.11773e-03     1.36683e-02     7.35393e-04    -3.30074e-03
 309     2.27198e-01     4.20481e-03    -1.33613e-03     1.43763e-02     5.95137e-04    -2.85794e-03
 310     2.29039e-01     3.68557e-03    -5.67933e-04     1.51685e-02     4.44836e-04    -2.45654e-03
 311     2.31881e-01     3.08474e-03     1.40993e-04     1.60048e-02     2.96297e-04    -2.10904e-03
 312     2.35453e-01     2.43057e-03     7.49619e-04     1.68254e-02     1.61244e-04    -1.82272e-03
 313     2.39393e-01     1.75732e-03     1.22380e-03     1.75552e-02     5.09161e-05    -1.59929e-03
 314     2.43294e-01     1.10495e-03     1.53919e-03     1.81136e-02    -2.47334e-05    -1.43417e-03
 315     2.46715e-01     5.16619e-04     1.68406e-03     1.84243e-02    -5.81493e-05    -1.31555e-03
 316     2.49262e-01     3.46128e-05     1.66136e-03     1.84308e-02    -4.53343e-05    -1.22498e-03
 317     2.50630e-01    -3.05004e-04     1.48849e-03     1.81071e-02     1.33126e-05    -1.13913e-03
 318     2.50652e-01    -4.77233e-04     1.19465e-03     1.74646e-02     1.12818e-04    -1.03338e-03
 319     2.49322e-01    -4.71209e-04     8.15966e-04     1.65513e-02     2.44250e-04    -8.86200e-04
 320     2.46760e-01    -2.90605e-04     3.89748e-04     1.54420e-02     3.95935e-04    -6.83412e-04
 321     2.43181e-01     4.82170e-05    -5.04131e-05     1.42262e-02     5.54934e-04    -4.21438e-04
 322     2.38869e-01     5.19429e-04    -4.77906e-04     1.29957e-02     7.08465e-04    -1.08873e-04
 323     2.34085e-01     1.09117e-03    -8.74257e-04     1.18305e-02     8.44856e-04     2.33829e-04
 324     2.29040e-01     1.72814e-03    -1.22839e-03     1.07914e-02     9.54168e-04     5.76092e-04
 325     2.23903e-01     2.39353e-03    -1.53499e-03     9.91764e-03     1.02870e-03     8.80536e-04
 326     2.18738e-01     3.04971e-03    -1.79212e-03     9.22292e-03     1.06302e-03     1.10747e-03
 327     2.13591e-01     3.66004e-03    -1.99963e-03     8.70102e-03     1.05460e-03     1.22098e-03
 328     2.08443e-01     4.18974e-03    -2.15725e-03     8.32681e-03     1.00372e-03     1.19515e-03
 329     2.03266e-01     4.60839e-03    -2.26392e-03     8.06388e-03     9.13674e-04     1.02009e-03
 330     1.98071e-01     4.89325e-03    -2.31785e-03     7.87301e-03     7.90582e-04     7.05823e-04
 331     1.92897e-01     5.03119e-03    -2.31664e-03     7.71885e-03     6.42498e-04     2.82210e-04
 332     1.87825e-01     5.01999e-03    -2.25790e-03     7.57636e-03     4.78319e-04    -2.05115e-04
 333     1.83014e-01     4.86920e-03    -2.14047e-03     7.43580e-03     3.06620e-04    -7.02258e-04
 334     1.78639e-01     4.59701e-03    -1.96424e-03     7.30067e-03     1.34381e-04    -1.15598e-03
 335     1.74905e-01     4.22811e-03    -1.73066e-03     7.18570e-03    -3.36306e-05    -1.52156e-03
 336     1.72000e-01     3.78991e-03    -1.44228e-03     7.11074e-03    -1.95053e-04    -1.76775e-03
 337     1.70097e-01     3.31058e-03    -1.10274e-03     7.09641e-03    -3.49614e-04    -1.87879e-03
 338     1.69324e-01     2.81691e-03    -7.16371e-04     7.15869e-03    -4.98479e-04    -1.85330e-03
 339     1.69784e-01     2.33438e-03    -2.88402e-04     7.30732e-03    -6.43548e-04    -1.70200e-03
 340     1.71488e-01     1.88610e-03     1.75040e-04     7.54133e-03    -7.86433e-04    -1.44354e-03
 341     1.74421e-01     1.49448e-03     6.66217e-04     7.85185e-03    -9.27932e-04    -1.10170e-03
 342     1.78493e-01     1.18070e-03     1.17538e-03     8.22065e-03    -1.06719e-03    -7.01524e-04
 343     1.83543e-01     9.64871e-04     1.69021e-03     8.62248e-03    -1.20125e-03    -2.66396e-04
 344     1.89321e-01     8.65174e-04     2.19531e-03     9.02661e-03    -1.32461e-03     1.84525e-04
 345     1.95506e-01     8.96511e-04     2.67234e-03     9.40124e-03    -1.42944e-03     6.37997e-04
 346     2.01718e-01     1.06823e-03     3.10074e-03     9.71764e-03    -1.50613e-03     1.08745e-03
 347     2.07554e-01     1.38158e-03     3.45933e-03     9.95538e-03    -1.54463e-03     1.53226e-03
 348     2.12614e-01     1.82725e-03     3.72830e-03     1.01056e-02    -1.53603e-03     1.97513e-03
 349     2.16581e-01     2.38421e-03     3.89224e-03     1.01747e-02    -1.47492e-03     2.41820e-03
 350     2.19279e-01     3.02037e-03     3.94286e-03     1.01843e-02    -1.36127e-03     2.85848e-03
 351     2.20696e-01     3.69537e-03     3.88048e-03     1.01670e-02    -1.20132e-03     3.28393e-03
 352     2.20956e-01     4.36456e-03     3.71357e-03     1.01586e-02    -1.00709e-03     3.67136e-03
 353     2.20366e-01     4.98568e-03     3.45870e-03     1.01939e-02    -7.94980e-04     3.98916e-03
 354     2.19282e-01     5.52256e-03     3.13674e-03     1.02970e-02    -5.82549e-04     4.20100e-03
 355     2.18097e-01     5.94946e-03     2.77068e-03     1.04799e-02    -3.85666e-04     4.27316e-03
 356     2.17123e-01     6.25089e-03     2.38229e-03     1.07392e-02    -2.15742e-04     4.18000e-03
 357     2.16577e-01     6.42151e-03     1.99091e-03     1.10595e-02    -7.82763e-05     3.90942e-03
 358     2.16596e-01     6.46520e-03     1.61312e-03     1.14178e-02     2.75497e-05     3.46610e-03
 359     2.17160e-01     6.39067e-03     1.26222e-03     1.17840e-02     1.08275e-04     2.87035e-03
 360     2.18226e-01     6.21277e-03     9.49716e-04     1.21297e-02     1.74775e-04     2.15818e-03
 361     2.19614e-01     5.94695e-03     6.85174e-04     1.24237e-02     2.40361e-04     1.37623e-03
 362     2.21139e-01     5.61138e-03     4.77267e-04     1.26381e-02     3.18701e-04     5.79310e-04
 363     2.22585e-01     5.22517e-03     3.33529e-04     1.27477e-02     4.21558e-04    -1.74460e-04
 364     2.23694e-01     4.80739e-03     2.59758e-04     1.27284e-02     5.56434e-04    -8.28028e-04
 365     2.24251e-01     4.37839e-03     2.58918e-04     1.25620e-02     7.24507e-04    -1.33016e-03
 366     2.24026e-01     3.95760e-03     3.29323e-04     1.22345e-02     9.18690e-04    -1.64041e-03
 367     2.22844e-01     3.56339e-03     4.62835e-04     1.17414e-02     1.12284e-03    -1.73444e-03
 368     2.20546e-01     3.21023e-03     6.43323e-04     1.10884e-02     1.31209e-03    -1.60808e-03
 369     2.17141e-01     2.90838e-03     8.46842e-04     1.03007e-02     1.45630e-03    -1.28076e-03
 370     2.12643e-01     2.65915e-03     1.04309e-03     9.41522e-03     1.52410e-03    -7.93019e-04
 371     2.07229e-01     2.45599e-03     1.19998e-03     8.48512e-03     1.49009e-03    -2.01835e-04
 372     2.01161e-01     2.28439e-03     1.28913e-03     7.57070e-03     1.34063e-03     4.29675e-04
 373     1.94731e-01     2.12440e-03     1.29106e-03     6.72959e-03     1.07720e-03     1.04341e-03
 374     1.88254e-01     1.95492e-03     1.19887e-03     6.00958e-03     7.16467e-04     1.59548e-03
 375     1.81972e-01     1.75731e-03     1.01844e-03     5.44099e-03     2.86523e-04     2.06042e-03
 376     1.76105e-01     1.51917e-03     7.66850e-04     5.03738e-03    -1.78311e-04     2.43099e-03
 377     1.70746e-01     1.23515e-03     4.68380e-04     4.79454e-03    -6.43079e-04     2.71268e-03
 378     1.65942e-01     9.08087e-04     1.51308e-04     4.69644e-03    -1.07603e-03     2.91816e-03
 379     1.61687e-01     5.48498e-04    -1.55155e-04     4.71899e-03    -1.45103e-03     3.06139e-03
 380     1.57958e-01     1.73974e-04    -4.23026e-04     4.83424e-03    -1.74874e-03     3.15384e-03
 381     1.54680e-01    -1.91794e-04    -6.26997e-04     5.01141e-03    -1.95620e-03     3.20118e-03
 382     1.51812e-01    -5.19958e-04    -7.45955e-04     5.22107e-03    -2.06745e-03     3.20436e-03
 383     1.49335e-01    -7.78603e-04    -7.64632e-04     5.43600e-03    -2.08327e-03     3.16047e-03
 384     1.47220e-01    -9.35400e-04    -6.75231e-04     5.63136e-03    -2.01039e-03     3.06448e-03
 385     1.45478e-01    -9.61790e-04    -4.79527e-04     5.78796e-03    -1.86169e-03     2.91359e-03
 386     1.44156e-01    -8.37805e-04    -1.90017e-04     5.89384e-03    -1.65489e-03     2.71055e-03
 387     1.43290e-01    -5.56413e-04     1.70349e-04     5.94428e-03    -1.41015e-03     2.46547e-03
 388     1.42961e-01    -1.26760e-04     5.70228e-04     5.94482e-03    -1.14801e-03     2.19750e-03
 389     1.43188e-01     4.26013e-04     9.73723e-04     5.90685e-03    -8.85673e-04     1.93150e-03
 390     1.44006e-01     1.06344e-03     1.34546e-03     5.84937e-03    -6.35611e-04     1.69543e-03
 391     1.45361e-01     1.73872e-03     1.65464e-03     5.79240e-03    -4.04002e-04     1.51384e-03
 392     1.47186e-01     2.40293e-03     1.87885e-03     5.75777e-03    -1.91893e-04     1.40399e-03
 393     1.49341e-01     3.00984e-03     2.00505e-03     5.76437e-03     3.18845e-06     1.37133e-03
 394     1.51662e-01     3.52025e-03     2.02997e-03     5.82841e-03     1.84572e-04     1.40804e-03
 395     1.53930e-01     3.90355e-03     1.95859e-03     5.96096e-03     3.53937e-04     1.49267e-03
 396     1.55960e-01     4.14072e-03     1.80368e-03     6.17004e-03     5.09522e-04     1.59285e-03
 397     1.57526e-01     4.22253e-03     1.58298e-03     6.45598e-03     6.45075e-04     1.66812e-03
 398     1.58521e-01     4.15319e-03     1.31904e-03     6.81608e-03     7.50696e-04     1.67668e-03
 399     1.58856e-01     3.94623e-03     1.03578e-03     7.23874e-03     8.14092e-04     1.58051e-03
 400     1.58584e-01     3.62565e-03     7.57314e-04     7.70800e-03     8.23628e-04     1.35267e-03
 401     1.57837e-01     3.22092e-03     5.04969e-04     8.20125e-03     7.70857e-04     9.81141e-04
 402     1.56838e-01     2.76395e-03     2.95668e-04     8.69236e-03     6.52991e-04     4.70950e-04
 403     1.55869e-01     2.28479e-03     1.40718e-04     9.15328e-03     4.74010e-04    -1.57343e-04
 404     1.55225e-01     1.80833e-03     4.57194e-05     9.55601e-03     2.44487e-04    -8.71488e-04
 405     1.55180e-01     1.35250e-03     1.13557e-05     9.87414e-03    -1.96323e-05    -1.63238e-03
 406     1.55955e-01     9.28040e-04     3.47132e-05     1.00840e-02    -2.98776e-04    -2.39852e-03
 407     1.57699e-01     5.39500e-04     1.10683e-04     1.01657e-02    -5.71558e-04    -3.12914e-03
 408     1.60466e-01     1.87037e-04     2.33105e-04     1.01031e-02    -8.16362e-04    -3.78579e-03
 409     1.64246e-01    -1.31464e-04     3.95552e-04     9.88846e-03    -1.01300e-03    -4.33397e-03
 410     1.68901e-01    -4.18477e-04     5.91567e-04     9.52100e-03    -1.14396e-03    -4.74251e-03
 411     1.74191e-01    -6.74912e-04     8.14577e-04     9.01186e-03    -1.19624e-03    -4.98532e-03
 412     1.79796e-01    -8.98912e-04     1.05771e-03     8.38817e-03    -1.16350e-03    -5.04436e-03
 413     1.85303e-01    -1.08510e-03     1.31328e-03     7.69235e-03    -1.04766e-03    -4.91198e-03
 414     1.90282e-01    -1.22504e-03     1.57286e-03     6.98211e-03    -8.60273e-04    -4.59578e-03
 415     1.94326e-01    -1.30854e-03     1.82721e-03     6.32243e-03    -6.21606e-04    -4.12011e-03
 416     1.97118e-01    -1.32589e-03     2.06679e-03     5.77495e-03    -3.57709e-04    -3.52545e-03
 417     1.98501e-01    -1.27059e-03     2.28252e-03     5.38586e-03    -9.54341e-05    -2.86401e-03
 418     1.98549e-01    -1.14182e-03     2.46717e-03     5.17727e-03     1.43306e-04    -2.19215e-03
 419     1.97452e-01    -9.44663e-04     2.61482e-03     5.14112e-03     3.46058e-04    -1.56006e-03
 420     1.95489e-01    -6.89955e-04     2.72123e-03     5.24409e-03     5.11353e-04    -1.00569e-03
 421     1.93016e-01    -3.93026e-04     2.78447e-03     5.43832e-03     6.47577e-04    -5.51852e-04
 422     1.90327e-01    -7.15100e-05     2.80366e-03     5.67047e-03     7.69361e-04    -2.06167e-04
 423     1.87661e-01     2.56116e-04     2.77938e-03     5.89276e-03     8.93364e-04     3.54436e-05
 424     1.85171e-01     5.71816e-04     2.71350e-03     6.06901e-03     1.03415e-03     1.84680e-04
 425     1.82971e-01     8.58997e-04     2.61001e-03     6.17913e-03     1.20134e-03     2.56905e-04
 426     1.81087e-01     1.10299e-03     2.47434e-03     6.21708e-03     1.39738e-03     2.67924e-04
 427     1.79524e-01     1.29163e-03     2.31410e-03     6.18978e-03     1.61712e-03     2.31834e-04
 428     1.78256e-01     1.41566e-03     2.13878e-03     6.11249e-03     1.84808e-03     1.59831e-04
 429     1.77261e-01     1.46928e-03     1.95957e-03     6.00480e-03     2.07194e-03     5.99320e-05
 430     1.76543e-01     1.45075e-03     1.78882e-03     5.88655e-03     2.26691e-03    -6.26226e-05
 431     1.76034e-01     1.36202e-03     1.63803e-03     5.77042e-03     2.40906e-03    -2.04320e-04
 432     1.75708e-01     1.21003e-03     1.51794e-03     5.66333e-03     2.47651e-03    -3.61820e-04
 433     1.75531e-01     1.00667e-03     1.43663e-03     5.56406e-03     2.45213e-03    -5.30272e-04
 434     1.75398e-01     7.68572e-04     1.39766e-03     5.46269e-03     2.32560e-03    -7.01461e-04
 435     1.75222e-01     5.17370e-04     1.39956e-03     5.34705e-03     2.09746e-03    -8.62926e-04
 436     1.74867e-01     2.78088e-04     1.43439e-03     5.20546e-03     1.77976e-03    -9.97738e-04
 437     1.74204e-01     7.70795e-05     1.48824e-03     5.03412e-03     1.39670e-03    -1.08630e-03
 438     1.73090e-01    -6.14403e-05     1.54221e-03     4.84063e-03     9.81705e-04    -1.10943e-03
 439     1.71472e-01    -1.19244e-04     1.57583e-03     4.64819e-03     5.73016e-04    -1.05323e-03
 440     1.69298e-01    -8.73619e-05     1.56968e-03     4.49017e-03     2.06314e-04    -9.12627e-04
 441     1.66659e-01     3.23891e-05     1.50998e-03     4.40734e-03    -9.11005e-05    -6.94574e-04
 442     1.63673e-01     2.28362e-04     1.38967e-03     4.43668e-03    -3.04803e-04    -4.17047e-04
 443     1.60542e-01     4.81983e-04     1.20948e-03     4.60605e-03    -4.33830e-04    -1.06537e-04
 444     1.57455e-01     7.71434e-04     9.76015e-04     4.92782e-03    -4.88178e-04     2.06465e-04
 445     1.54617e-01     1.07508e-03     7.00061e-04     5.39911e-03    -4.84717e-04     4.91542e-04
 446     1.52220e-01     1.37381e-03     3.94340e-04     6.00326e-03    -4.42830e-04     7.21700e-04
 447     1.50413e-01     1.65188e-03     7.18524e-05     6.71160e-03    -3.80845e-04     8.75243e-04
 448     1.49327e-01     1.89725e-03    -2.54810e-04     7.48741e-03    -3.13871e-04     9.36911e-04
 449     1.49045e-01     2.10078e-03    -5.73680e-04     8.28672e-03    -2.52574e-04     8.98298e-04
 450     1.49627e-01     2.25613e-03    -8.73206e-04     9.06138e-03    -2.02910e-04     7.58648e-04
 451     1.51065e-01     2.35895e-03    -1.14184e-03     9.75901e-03    -1.66216e-04     5.25574e-04
 452     1.53296e-01     2.40732e-03    -1.36797e-03     1.03268e-02    -1.39743e-04     2.16289e-04
 453     1.56182e-01     2.40216e-03    -1.54039e-03     1.07157e-02    -1.17451e-04    -1.41684e-04
 454     1.59466e-01     2.34751e-03    -1.64900e-03     1.08852e-02    -9.12135e-05    -5.10988e-04
 455     1.62813e-01     2.25182e-03    -1.68697e-03     1.08140e-02    -5.25588e-05    -8.47253e-04
 456     1.65853e-01     2.12805e-03    -1.65299e-03     1.05095e-02     5.28582e-06    -1.10534e-03
 457     1.68160e-01     1.99166e-03    -1.55216e-03     1.00067e-02     8.54310e-05    -1.24750e-03
 458     1.69449e-01     1.85991e-03    -1.39744e-03     9.37313e-03     1.86105e-04    -1.25305e-03
 459     1.69550e-01     1.74773e-03    -1.20712e-03     8.69232e-03     3.00788e-04    -1.12376e-03
 460     1.68516e-01     1.66588e-03    -1.00218e-03     8.05110e-03     4.19814e-04    -8.84587e-04
 461     1.66565e-01     1.61919e-03    -8.02247e-04     7.52164e-03     5.32684e-04    -5.77813e-04
 462     1.64058e-01     1.60703e-03    -6.22889e-04     7.15274e-03     6.30387e-04    -2.54300e-04
 463     1.61400e-01     1.62445e-03    -4.74161e-04     6.96567e-03     7.06701e-04     3.56010e-05
 464     1.58996e-01     1.66432e-03    -3.60900e-04     6.95866e-03     7.58624e-04     2.48491e-04
 465     1.57200e-01     1.71895e-03    -2.83806e-04     7.11299e-03     7.85880e-04     3.51550e-04
 466     1.56285e-01     1.78143e-03    -2.40861e-04     7.39950e-03     7.90019e-04     3.23949e-04
 467     1.56449e-01     1.84655e-03    -2.28610e-04     7.78465e-03     7.73479e-04     1.57297e-04
 468     1.57742e-01     1.91056e-03    -2.42993e-04     8.23117e-03     7.38389e-04    -1.44026e-04
 469     1.60153e-01     1.97249e-03    -2.80015e-04     8.70504e-03     6.86350e-04    -5.61999e-04
 470     1.63519e-01     2.03317e-03    -3.35838e-04     9.17322e-03     6.17637e-04    -1.06433e-03
 471     1.67548e-01     2.09527e-03    -4.06761e-04     9.60625e-03     5.31308e-04    -1.60460e-03
 472     1.71884e-01     2.16346e-03    -4.89170e-04     9.98327e-03     4.25822e-04    -2.12537e-03
 473     1.76056e-01     2.24233e-03    -5.79074e-04     1.02883e-02     2.99619e-04    -2.56338e-03
 474     1.79623e-01     2.33625e-03    -6.72127e-04     1.05162e-02     1.52648e-04    -2.85946e-03
 475     1.82223e-01     2.44774e-03    -7.63513e-04     1.06708e-02    -1.25317e-05    -2.96891e-03
 476     1.83639e-01     2.57637e-03    -8.48066e-04     1.07619e-02    -1.89947e-04    -2.87016e-03
 477     1.83885e-01     2.71916e-03    -9.20834e-04     1.08055e-02    -3.70291e-04    -2.56953e-03
 478     1.83141e-01     2.87020e-03    -9.77260e-04     1.08157e-02    -5.41829e-04    -2.09796e-03
 479     1.81747e-01     3.02220e-03    -1.01376e-03     1.08046e-02    -6.91944e-04    -1.50405e-03
 480     1.80096e-01     3.16708e-03    -1.02786e-03     1.07782e-02    -8.08706e-04    -8.43911e-04
 481     1.78602e-01     3.29751e-03    -1.01855e-03     1.07381e-02    -8.82431e-04    -1.72537e-04
 482     1.77611e-01     3.40704e-03    -9.86205e-04     1.06811e-02    -9.06609e-04     4.62915e-04
 483     1.77393e-01     3.49071e-03    -9.32730e-04     1.06011e-02    -8.78633e-04     1.02641e-03
 484     1.78134e-01     3.54540e-03    -8.61592e-04     1.04923e-02    -8.00202e-04     1.49425e-03
 485     1.79929e-01     3.56943e-03    -7.77596e-04     1.03490e-02    -6.77247e-04     1.85442e-03
 486     1.82762e-01     3.56193e-03    -6.86535e-04     1.01658e-02    -5.19599e-04     2.10476e-03
 487     1.86541e-01     3.52292e-03    -5.94833e-04     9.93960e-03    -3.40520e-04     2.25100e-03
 488     1.91085e-01     3.45257e-03    -5.08776e-04     9.66841e-03    -1.55715e-04     2.30426e-03
 489     1.96155e-01     3.35131e-03    -4.33659e-04     9.35299e-03     1.79862e-05     2.27900e-03
 490     2.01441e-01     3.21922e-03    -3.72641e-04     8.99585e-03     1.64450e-04     2.19069e-03
 491     2.06532e-01     3.05542e-03    -3.25607e-04     8.59978e-03     2.70264e-04     2.05351e-03
 492     2.11055e-01     2.86037e-03    -2.88587e-04     8.17371e-03     3.27058e-04     1.88057e-03
 493     2.14560e-01     2.63452e-03    -2.53335e-04     7.72723e-03     3.33291e-04     1.68202e-03
 494     2.16663e-01     2.38098e-03    -2.08328e-04     7.27534e-03     2.95401e-04     1.46669e-03
 495     2.17089e-01     2.10654e-03    -1.40724e-04     6.83757e-03     2.27371e-04     1.24324e-03
 496     2.15691e-01     1.82204e-03    -3.92578e-05     6.43557e-03     1.48429e-04     1.02156e-03
 497     2.12559e-01     1.54294e-03     1.02617e-04     6.09274e-03     7.93384e-05     8.14302e-04
 498     2.07927e-01     1.28720e-03     2.84497e-04     5.82806e-03     3.79747e-05     6.36562e-04
 499     2.02200e-01     1.07362e-03     4.98400e-04     5.65493e-03     3.58499e-05     5.05096e-04
 500     1.95847e-01     9.19209e-04     7.29947e-04     5.57780e-03     7.64047e-05     4.36161e-04
 501     1.89333e-01     8.37225e-04     9.60825e-04     5.59192e-03     1.55424e-04     4.43362e-04
 502     1.83129e-01     8.36347e-04     1.17206e-03     5.68622e-03     2.63072e-04     5.35986e-04
 503     1.77552e-01     9.19797e-04     1.34600e-03     5.84176e-03     3.86451e-04     7.17632e-04
 504     1.72866e-01     1.08604e-03     1.46873e-03     6.03723e-03     5.12155e-04     9.86032e-04
 505     1.69261e-01     1.32908e-03     1.53112e-03     6.25046e-03     6.28194e-04     1.33307e-03
 506     1.66817e-01     1.63845e-03     1.52900e-03     6.45867e-03     7.25021e-04     1.74466e-03
 507     1.65609e-01     2.00013e-03     1.46438e-03     6.64379e-03     7.96502e-04     2.20177e-03
 508     1.65636e-01     2.39607e-03     1.34489e-03     6.79128e-03     8.39888e-04     2.68031e-03
 509     1.66881e-01     2.80527e-03     1.18419e-03     6.89453e-03     8.56062e-04     3.15282e-03
 510     1.69264e-01     3.20393e-03     1.00106e-03     6.95452e-03     8.49050e-04     3.58928e-03
 511     1.72682e-01     3.56785e-03     8.18482e-04     6.98328e-03     8.25775e-04     3.96042e-03
 512     1.76960e-01     3.87367e-03     6.61038e-04     7.00186e-03     7.94962e-04     4.23992e-03
 513     1.81897e-01     4.10268e-03     5.51914e-04     7.04069e-03     7.66190e-04     4.40902e-03
 514     1.87254e-01     4.24324e-03     5.08841e-04     7.13499e-03     7.48346e-04     4.45959e-03
 515     1.92751e-01     4.29239e-03     5.40231e-04     7.31835e-03     7.48053e-04     4.39574e-03
 516     1.98132e-01     4.25753e-03     6.42524e-04     7.61765e-03     7.68623e-04     4.23511e-03
 517     2.03152e-01     4.15440e-03     7.99244e-04     8.04538e-03     8.09234e-04     4.00582e-03
 518     2.07633e-01     4.00505e-03     9.82658e-04     8.59667e-03     8.65155e-04     3.74310e-03
 519     2.11429e-01     3.83288e-03     1.15729e-03     9.24596e-03     9.28332e-04     3.48282e-03
 520     2.14445e-01     3.65920e-03     1.28517e-03     9.94964e-03     9.88758e-04     3.25668e-03
 521     2.16642e-01     3.50010e-03     1.33164e-03     1.06512e-02     1.03604e-03     3.08779e-03
 522     2.18026e-01     3.36469e-03     1.27085e-03     1.12887e-02     1.06094e-03     2.98777e-03
 523     2.18621e-01     3.25461e-03     1.09012e-03     1.18022e-02     1.05661e-03     2.95551e-03
 524     2.18490e-01     3.16573e-03     7.92699e-04     1.21440e-02     1.01964e-03     2.97830e-03
 525     2.17674e-01     3.08987e-03     3.97998e-04     1.22834e-02     9.50379e-04     3.03375e-03
 526     2.16316e-01     3.01950e-03    -6.02865e-05     1.22184e-02     8.53454e-04     3.09537e-03
 527     2.14563e-01     2.94917e-03    -5.39463e-04     1.19717e-02     7.36732e-04     3.13603e-03
 528     2.12542e-01     2.87711e-03    -9.93992e-04     1.15857e-02     6.10254e-04     3.13212e-03
 529     2.10476e-01     2.80752e-03    -1.38254e-03     1.11217e-02     4.85340e-04     3.06882e-03
 530     2.08538e-01     2.74782e-03    -1.67303e-03     1.06430e-02     3.72834e-04     2.93979e-03
