#  L 		 TT 		 EE 		 BB 		 TE 		 TB 		 EB
  62     1.14774e+01     1.20743e-01     3.85530e-02     6.33426e-01    -3.71770e-03    -1.62119e-01
  63     1.09237e+01     1.20546e-01     3.92506e-02     5.79654e-01    -4.07527e-03    -1.76182e-01
  64     1.04097e+01     1.21142e-01     4.07916e-02     5.26731e-01    -4.12762e-03    -1.89460e-01
  65     9.95160e+00     1.22497e-01     4.30856e-02     4.75529e-01    -3.69125e-03    -2.02061e-01
  66     9.56459e+00     1.24564e-01     4.60512e-02     4.26590e-01    -2.62879e-03    -2.14299e-01
  67     9.26060e+00     1.27230e-01     4.95885e-02     3.80148e-01    -8.54896e-04    -2.26515e-01
  68     9.04721e+00     1.30275e-01     5.35473e-02     3.36313e-01     1.64759e-03    -2.38891e-01
  69     8.92655e+00     1.33344e-01     5.76967e-02     2.95309e-01     4.80049e-03    -2.51276e-01
  70     8.89197e+00     1.35927e-01     6.16962e-02     2.57653e-01     8.39919e-03    -2.62970e-01
  71     8.92581e+00     1.37414e-01     6.51063e-02     2.24297e-01     1.20979e-02    -2.72641e-01
  72     8.99776e+00     1.37199e-01     6.74452e-02     1.96536e-01     1.54392e-02    -2.78404e-01
  73     9.06751e+00     1.34854e-01     6.83005e-02     1.75696e-01     1.79456e-02    -2.78210e-01
  74     9.09460e+00     1.30317e-01     6.74729e-02     1.62690e-01     1.92593e-02    -2.70512e-01
  75     9.04779e+00     1.23923e-01     6.50413e-02     1.57596e-01     1.92561e-02    -2.54799e-01
  76     8.91198e+00     1.16298e-01     6.13294e-02     1.59547e-01     1.80724e-02    -2.31781e-01
  77     8.68711e+00     1.08137e-01     5.67771e-02     1.66931e-01     1.60325e-02    -2.03102e-01
  78     8.38652e+00     1.00063e-01     5.18343e-02     1.77837e-01     1.35400e-02    -1.70953e-01
  79     8.02534e+00     9.24630e-02     4.68427e-02     1.90272e-01     1.09672e-02    -1.37518e-01
  80     7.62125e+00     8.55538e-02     4.20455e-02     2.02462e-01     8.60875e-03    -1.04839e-01
  81     7.18884e+00     7.93753e-02     3.75789e-02     2.12850e-01     6.65779e-03    -7.46331e-02
  82     6.74112e+00     7.38702e-02     3.35121e-02     2.20172e-01     5.21341e-03    -4.82741e-02
  83     6.29024e+00     6.89347e-02     2.98745e-02     2.23515e-01     4.29329e-03    -2.67444e-02
  84     5.84731e+00     6.44484e-02     2.66711e-02     2.22358e-01     3.84890e-03    -1.05623e-02
  85     5.42321e+00     6.03087e-02     2.38973e-02     2.16647e-01     3.78380e-03     2.63215e-04
  86     5.02839e+00     5.64493e-02     2.15443e-02     2.06822e-01     3.97401e-03     6.23337e-03
  87     4.67175e+00     5.28407e-02     1.95979e-02     1.93722e-01     4.28895e-03     8.27427e-03
  88     4.35762e+00     4.94596e-02     1.80293e-02     1.78347e-01     4.60793e-03     7.56958e-03
  89     4.08953e+00     4.63265e-02     1.68128e-02     1.61847e-01     4.83624e-03     5.37461e-03
  90     3.86692e+00     4.34555e-02     1.59129e-02     1.45222e-01     4.90707e-03     2.83884e-03
  91     3.68671e+00     4.08582e-02     1.52908e-02     1.29269e-01     4.78086e-03     8.92204e-04
