#    L    TT             EE             BB             TE          
    91   0.255544E+04   0.730827E+00   0.680630E-01  -0.200199E+02
    92   0.258110E+04   0.746794E+00   0.680168E-01  -0.206301E+02
    93   0.260711E+04   0.762699E+00   0.679417E-01  -0.212438E+02
    94   0.263325E+04   0.778504E+00   0.678384E-01  -0.218594E+02
    95   0.265973E+04   0.794211E+00   0.677074E-01  -0.224780E+02
    96   0.268628E+04   0.809805E+00   0.675494E-01  -0.230987E+02
    97   0.271332E+04   0.825270E+00   0.673650E-01  -0.237210E+02
    98   0.274064E+04   0.840600E+00   0.671549E-01  -0.243427E+02
    99   0.276810E+04   0.855758E+00   0.669196E-01  -0.249669E+02
   100   0.279591E+04   0.870743E+00   0.666599E-01  -0.255891E+02
   101   0.282394E+04   0.885616E+00   0.663763E-01  -0.262125E+02
   102   0.285254E+04   0.900227E+00   0.660695E-01  -0.268349E+02
   103   0.288114E+04   0.914653E+00   0.657401E-01  -0.274572E+02
   104   0.291003E+04   0.928891E+00   0.653888E-01  -0.280764E+02
   105   0.293913E+04   0.942870E+00   0.650161E-01  -0.286942E+02
   106   0.296853E+04   0.956662E+00   0.646228E-01  -0.293098E+02
   107   0.299792E+04   0.970121E+00   0.642093E-01  -0.299219E+02
   108   0.302776E+04   0.983319E+00   0.637765E-01  -0.305313E+02
   109   0.305782E+04   0.996184E+00   0.633248E-01  -0.311367E+02
   110   0.308803E+04   0.100871E+01   0.628550E-01  -0.317365E+02
   111   0.311846E+04   0.102099E+01   0.623677E-01  -0.323324E+02
   112   0.314912E+04   0.103292E+01   0.618636E-01  -0.329237E+02
   113   0.318008E+04   0.104453E+01   0.613436E-01  -0.335088E+02
   114   0.321118E+04   0.105573E+01   0.608086E-01  -0.340870E+02
   115   0.324258E+04   0.106667E+01   0.602592E-01  -0.346583E+02
   116   0.327404E+04   0.107713E+01   0.596964E-01  -0.352219E+02
   117   0.330587E+04   0.108718E+01   0.591210E-01  -0.357771E+02
   118   0.333791E+04   0.109697E+01   0.585337E-01  -0.363246E+02
   119   0.337001E+04   0.110636E+01   0.579353E-01  -0.368622E+02
   120   0.340233E+04   0.111520E+01   0.573268E-01  -0.373899E+02
   121   0.343470E+04   0.112378E+01   0.567089E-01  -0.379076E+02
   122   0.346721E+04   0.113180E+01   0.560824E-01  -0.384147E+02
   123   0.349985E+04   0.113934E+01   0.554481E-01  -0.389111E+02
   124   0.353262E+04   0.114648E+01   0.548068E-01  -0.393938E+02
   125   0.356544E+04   0.115315E+01   0.541595E-01  -0.398650E+02
   126   0.359839E+04   0.115940E+01   0.535068E-01  -0.403241E+02
   127   0.363139E+04   0.116511E+01   0.528496E-01  -0.407702E+02
   128   0.366444E+04   0.117041E+01   0.521887E-01  -0.412026E+02
   129   0.369760E+04   0.117516E+01   0.515249E-01  -0.416206E+02
   130   0.373082E+04   0.117935E+01   0.508591E-01  -0.420233E+02
   131   0.376407E+04   0.118315E+01   0.501920E-01  -0.424124E+02
   132   0.379744E+04   0.118639E+01   0.495242E-01  -0.427848E+02
   133   0.383079E+04   0.118916E+01   0.488564E-01  -0.431429E+02
   134   0.386417E+04   0.119145E+01   0.481892E-01  -0.434822E+02
   135   0.389760E+04   0.119320E+01   0.475230E-01  -0.438058E+02
   136   0.393092E+04   0.119441E+01   0.468586E-01  -0.441100E+02
   137   0.396428E+04   0.119514E+01   0.461966E-01  -0.443971E+02
   138   0.399761E+04   0.119533E+01   0.455374E-01  -0.446656E+02
   139   0.403075E+04   0.119513E+01   0.448818E-01  -0.449149E+02
   140   0.406402E+04   0.119432E+01   0.442304E-01  -0.451457E+02
   141   0.409710E+04   0.119297E+01   0.435836E-01  -0.453559E+02
   142   0.413022E+04   0.119115E+01   0.429421E-01  -0.455463E+02
   143   0.416330E+04   0.118887E+01   0.423066E-01  -0.457169E+02
   144   0.419621E+04   0.118606E+01   0.416776E-01  -0.458671E+02
   145   0.422900E+04   0.118286E+01   0.410556E-01  -0.459961E+02
   146   0.426191E+04   0.117906E+01   0.404414E-01  -0.461040E+02
   147   0.429448E+04   0.117487E+01   0.398354E-01  -0.461894E+02
   148   0.432695E+04   0.117016E+01   0.392384E-01  -0.462538E+02
   149   0.435938E+04   0.116499E+01   0.386508E-01  -0.462958E+02
   150   0.439155E+04   0.115944E+01   0.380733E-01  -0.463132E+02
   151   0.442361E+04   0.115345E+01   0.375064E-01  -0.463090E+02
   152   0.445541E+04   0.114692E+01   0.369504E-01  -0.462817E+02
   153   0.448709E+04   0.114003E+01   0.364054E-01  -0.462291E+02
   154   0.451858E+04   0.113276E+01   0.358718E-01  -0.461534E+02
   155   0.454988E+04   0.112511E+01   0.353496E-01  -0.460538E+02
   156   0.458084E+04   0.111710E+01   0.348391E-01  -0.459303E+02
   157   0.461175E+04   0.110871E+01   0.343405E-01  -0.457814E+02
   158   0.464238E+04   0.110003E+01   0.338539E-01  -0.456078E+02
   159   0.467274E+04   0.109091E+01   0.333797E-01  -0.454095E+02
   160   0.470289E+04   0.108149E+01   0.329179E-01  -0.451851E+02
   161   0.473284E+04   0.107186E+01   0.324689E-01  -0.449359E+02
