#    L    TT             EE             BB             TE          
    90   0.133669E+03   0.947988E-01   0.656431E-01  -0.275639E+01
    91   0.129824E+03   0.953303E-01   0.655719E-01  -0.273311E+01
    92   0.126033E+03   0.958230E-01   0.654705E-01  -0.270832E+01
    93   0.122296E+03   0.962771E-01   0.653396E-01  -0.268209E+01
    94   0.118615E+03   0.966928E-01   0.651797E-01  -0.265448E+01
    95   0.114991E+03   0.970703E-01   0.649916E-01  -0.262552E+01
    96   0.111423E+03   0.974096E-01   0.647758E-01  -0.259529E+01
    97   0.107913E+03   0.977110E-01   0.645329E-01  -0.256382E+01
    98   0.104462E+03   0.979747E-01   0.642636E-01  -0.253119E+01
    99   0.101069E+03   0.982007E-01   0.639685E-01  -0.249744E+01
   100   0.977369E+02   0.983892E-01   0.636483E-01  -0.246262E+01
   101   0.944650E+02   0.985405E-01   0.633035E-01  -0.242680E+01
   102   0.912544E+02   0.986546E-01   0.629349E-01  -0.239003E+01
   103   0.881059E+02   0.987316E-01   0.625429E-01  -0.235235E+01
   104   0.850200E+02   0.987719E-01   0.621283E-01  -0.231383E+01
   105   0.819977E+02   0.987755E-01   0.616917E-01  -0.227452E+01
   106   0.790394E+02   0.987426E-01   0.612337E-01  -0.223447E+01
   107   0.761461E+02   0.986733E-01   0.607549E-01  -0.219374E+01
   108   0.733184E+02   0.985678E-01   0.602560E-01  -0.215239E+01
   109   0.705570E+02   0.984263E-01   0.597376E-01  -0.211046E+01
   110   0.678627E+02   0.982489E-01   0.592003E-01  -0.206802E+01
   111   0.652359E+02   0.980359E-01   0.586447E-01  -0.202511E+01
   112   0.626762E+02   0.977876E-01   0.580717E-01  -0.198178E+01
   113   0.601833E+02   0.975045E-01   0.574821E-01  -0.193807E+01
   114   0.577563E+02   0.971871E-01   0.568767E-01  -0.189402E+01
   115   0.553949E+02   0.968359E-01   0.562562E-01  -0.184968E+01
   116   0.530984E+02   0.964514E-01   0.556215E-01  -0.180509E+01
   117   0.508663E+02   0.960339E-01   0.549735E-01  -0.176028E+01
   118   0.486979E+02   0.955841E-01   0.543128E-01  -0.171531E+01
   119   0.465928E+02   0.951024E-01   0.536403E-01  -0.167022E+01
   120   0.445504E+02   0.945892E-01   0.529569E-01  -0.162504E+01
   121   0.425700E+02   0.940450E-01   0.522633E-01  -0.157982E+01
   122   0.406512E+02   0.934704E-01   0.515604E-01  -0.153460E+01
   123   0.387933E+02   0.928657E-01   0.508489E-01  -0.148942E+01
   124   0.369959E+02   0.922315E-01   0.501296E-01  -0.144433E+01
   125   0.352582E+02   0.915681E-01   0.494034E-01  -0.139937E+01
   126   0.335799E+02   0.908762E-01   0.486712E-01  -0.135458E+01
   127   0.319602E+02   0.901562E-01   0.479336E-01  -0.131000E+01
   128   0.303987E+02   0.894085E-01   0.471914E-01  -0.126567E+01
   129   0.288947E+02   0.886337E-01   0.464456E-01  -0.122164E+01
   130   0.274478E+02   0.878321E-01   0.456970E-01  -0.117795E+01
   131   0.260571E+02   0.870045E-01   0.449462E-01  -0.113464E+01
   132   0.247219E+02   0.861517E-01   0.441939E-01  -0.109173E+01
   133   0.234408E+02   0.852748E-01   0.434407E-01  -0.104926E+01
   134   0.222130E+02   0.843750E-01   0.426872E-01  -0.100724E+01
   135   0.210372E+02   0.834534E-01   0.419340E-01  -0.965697E+00
   136   0.199124E+02   0.825110E-01   0.411817E-01  -0.924664E+00
   137   0.188375E+02   0.815490E-01   0.404308E-01  -0.884161E+00
   138   0.178114E+02   0.805684E-01   0.396820E-01  -0.844213E+00
   139   0.168331E+02   0.795703E-01   0.389358E-01  -0.804846E+00
   140   0.159013E+02   0.785559E-01   0.381928E-01  -0.766083E+00
   141   0.150151E+02   0.775262E-01   0.374536E-01  -0.727951E+00
   142   0.141733E+02   0.764823E-01   0.367189E-01  -0.690473E+00
   143   0.133749E+02   0.754253E-01   0.359891E-01  -0.653676E+00
   144   0.126188E+02   0.743563E-01   0.352650E-01  -0.617583E+00
   145   0.119039E+02   0.732765E-01   0.345469E-01  -0.582219E+00
   146   0.112290E+02   0.721868E-01   0.338357E-01  -0.547610E+00
   147   0.105931E+02   0.710884E-01   0.331318E-01  -0.513781E+00
   148   0.999516E+01   0.699824E-01   0.324359E-01  -0.480755E+00
   149   0.943403E+01   0.688698E-01   0.317484E-01  -0.448559E+00
   150   0.890862E+01   0.677519E-01   0.310701E-01  -0.417217E+00
   151   0.841787E+01   0.666295E-01   0.304014E-01  -0.386749E+00
   152   0.796075E+01   0.655036E-01   0.297427E-01  -0.357157E+00
   153   0.753625E+01   0.643749E-01   0.290940E-01  -0.328440E+00
   154   0.714335E+01   0.632441E-01   0.284556E-01  -0.300594E+00
   155   0.678104E+01   0.621120E-01   0.278278E-01  -0.273616E+00
   156   0.644831E+01   0.609794E-01   0.272106E-01  -0.247506E+00
   157   0.614416E+01   0.598470E-01   0.266043E-01  -0.222259E+00
   158   0.586755E+01   0.587156E-01   0.260091E-01  -0.197874E+00
   159   0.561749E+01   0.575859E-01   0.254252E-01  -0.174348E+00
   160   0.539296E+01   0.564588E-01   0.248528E-01  -0.151678E+00
   161   0.519295E+01   0.553348E-01   0.242920E-01  -0.129863E+00
   162   0.501645E+01   0.542149E-01   0.237432E-01  -0.108898E+00
   163   0.486244E+01   0.530998E-01   0.232064E-01  -0.887835E-01
   164   0.472991E+01   0.519902E-01   0.226819E-01  -0.695151E-01
   165   0.461786E+01   0.508869E-01   0.221698E-01  -0.510908E-01
   166   0.452526E+01   0.497907E-01   0.216705E-01  -0.335081E-01
   167   0.445110E+01   0.487023E-01   0.211840E-01  -0.167644E-01
   168   0.439438E+01   0.476224E-01   0.207106E-01  -0.857435E-03
   169   0.435408E+01   0.465519E-01   0.202504E-01   0.142154E-01
   170   0.432919E+01   0.454914E-01   0.198037E-01   0.284566E-01
   171   0.431870E+01   0.444418E-01   0.193706E-01   0.418687E-01
   172   0.432159E+01   0.434038E-01   0.189514E-01   0.544541E-01
   173   0.433685E+01   0.423782E-01   0.185463E-01   0.662153E-01
   174   0.436347E+01   0.413657E-01   0.181554E-01   0.771548E-01
   175   0.440044E+01   0.403671E-01   0.177790E-01   0.872751E-01
   176   0.444682E+01   0.393830E-01   0.174171E-01   0.965822E-01
   177   0.450193E+01   0.384141E-01   0.170697E-01   0.105095E+00
   178   0.456518E+01   0.374606E-01   0.167364E-01   0.112838E+00
   179   0.463596E+01   0.365230E-01   0.164170E-01   0.119833E+00
   180   0.471369E+01   0.356018E-01   0.161112E-01   0.126103E+00
   181   0.479776E+01   0.346974E-01   0.158189E-01   0.131671E+00
   182   0.488757E+01   0.338101E-01   0.155397E-01   0.136561E+00
   183   0.498253E+01   0.329405E-01   0.152734E-01   0.140795E+00
   184   0.508203E+01   0.320889E-01   0.150198E-01   0.144396E+00
   185   0.518548E+01   0.312558E-01   0.147786E-01   0.147388E+00
   186   0.529227E+01   0.304416E-01   0.145496E-01   0.149792E+00
   187   0.540182E+01   0.296467E-01   0.143326E-01   0.151633E+00
   188   0.551351E+01   0.288715E-01   0.141271E-01   0.152933E+00
   189   0.562676E+01   0.281166E-01   0.139332E-01   0.153716E+00
   190   0.574096E+01   0.273822E-01   0.137504E-01   0.154004E+00
   191   0.585551E+01   0.266689E-01   0.135785E-01   0.153820E+00
   192   0.596982E+01   0.259770E-01   0.134173E-01   0.153187E+00
   193   0.608328E+01   0.253070E-01   0.132666E-01   0.152128E+00
   194   0.619530E+01   0.246592E-01   0.131260E-01   0.150667E+00
   195   0.630528E+01   0.240342E-01   0.129954E-01   0.148826E+00
   196   0.641262E+01   0.234324E-01   0.128745E-01   0.146628E+00
   197   0.651673E+01   0.228542E-01   0.127630E-01   0.144096E+00
   198   0.661699E+01   0.222999E-01   0.126608E-01   0.141254E+00
   199   0.671282E+01   0.217701E-01   0.125674E-01   0.138124E+00
