#    L    TT             EE             BB             TE         
     2    1.06436E+03    3.80487E-02    6.27470E-04    2.90915E+00
     3    1.00236E+03    5.41783E-02    6.55393E-04    3.38928E+00
     4    9.45149E+02    5.29684E-02    5.86281E-04    3.30324E+00
     5    9.02057E+02    4.05083E-02    4.71266E-04    2.92148E+00
     6    8.71956E+02    2.57816E-02    3.51428E-04    2.43760E+00
     7    8.52185E+02    1.46058E-02    2.51383E-04    1.96680E+00
     8    8.39782E+02    8.38736E-03    1.80495E-04    1.56979E+00
     9    8.33170E+02    5.78104E-03    1.38378E-04    1.26751E+00
    10    8.30898E+02    4.85151E-03    1.19918E-04    1.06391E+00
    11    8.31514E+02    4.33159E-03    1.18592E-04    9.50713E-01
    12    8.35606E+02    3.82070E-03    1.28701E-04    9.13274E-01
    13    8.41166E+02    3.38859E-03    1.45762E-04    9.27366E-01
    14    8.48089E+02    3.17723E-03    1.66922E-04    9.66861E-01
    15    8.55292E+02    3.21736E-03    1.90491E-04    1.01869E+00
    16    8.64500E+02    3.43366E-03    2.15594E-04    1.07911E+00
    17    8.75528E+02    3.77053E-03    2.41865E-04    1.14139E+00
    18    8.87205E+02    4.19805E-03    2.69073E-04    1.20093E+00
    19    9.00274E+02    4.75162E-03    2.97164E-04    1.25998E+00
    20    9.13115E+02    5.45969E-03    3.26117E-04    1.31363E+00
    21    9.26424E+02    6.33805E-03    3.55895E-04    1.36856E+00
    22    9.40231E+02    7.40719E-03    3.86450E-04    1.42763E+00
    23    9.54138E+02    8.64672E-03    4.17725E-04    1.49039E+00
    24    9.68457E+02    1.00392E-02    4.49659E-04    1.55526E+00
    25    9.83320E+02    1.15886E-02    4.82188E-04    1.61513E+00
    26    9.98239E+02    1.33072E-02    5.15260E-04    1.67358E+00
    27    1.01362E+03    1.51944E-02    5.48873E-04    1.72951E+00
    28    1.02930E+03    1.72313E-02    5.83034E-04    1.77608E+00
    29    1.04519E+03    1.94402E-02    6.17717E-04    1.81731E+00
    30    1.06149E+03    2.18477E-02    6.52886E-04    1.84569E+00
    31    1.07760E+03    2.44477E-02    6.88498E-04    1.87057E+00
    32    1.09433E+03    2.72574E-02    7.24504E-04    1.88584E+00
    33    1.11115E+03    3.02516E-02    7.60851E-04    1.89117E+00
    34    1.12803E+03    3.34706E-02    7.97471E-04    1.88943E+00
    35    1.14553E+03    3.69206E-02    8.34241E-04    1.87378E+00
    36    1.16277E+03    4.06220E-02    8.71068E-04    1.85610E+00
    37    1.18026E+03    4.45777E-02    9.08015E-04    1.82898E+00
    38    1.19812E+03    4.87588E-02    9.45148E-04    1.79246E+00
    39    1.21625E+03    5.31729E-02    9.82377E-04    1.74605E+00
    40    1.23456E+03    5.78397E-02    1.01957E-03    1.68808E+00
    41    1.25298E+03    6.27759E-02    1.05662E-03    1.61746E+00
    42    1.27149E+03    6.79864E-02    1.09348E-03    1.53526E+00
    43    1.29012E+03    7.34726E-02    1.13012E-03    1.44268E+00
    44    1.30892E+03    7.92342E-02    1.16651E-03    1.33932E+00
    45    1.32795E+03    8.52677E-02    1.20263E-03    1.22450E+00
    46    1.34719E+03    9.15694E-02    1.23844E-03    1.09793E+00
    47    1.36660E+03    9.81457E-02    1.27390E-03    9.59212E-01
    48    1.38618E+03    1.04999E-01    1.30897E-03    8.07906E-01
    49    1.40590E+03    1.12130E-01    1.34359E-03    6.43631E-01
    50    1.42582E+03    1.19552E-01    1.37772E-03    4.66149E-01
    51    1.44601E+03    1.27276E-01    1.41131E-03    2.75444E-01
    52    1.46640E+03    1.35304E-01    1.44433E-03    7.21852E-02
    53    1.48692E+03    1.43633E-01    1.47676E-03   -1.42999E-01
    54    1.50756E+03    1.52260E-01    1.50857E-03   -3.70339E-01
    55    1.52829E+03    1.61184E-01    1.53974E-03   -6.10434E-01
    56    1.54925E+03    1.70397E-01    1.57024E-03   -8.64412E-01
    57    1.57052E+03    1.79898E-01    1.60004E-03   -1.13294E+00
    58    1.59206E+03    1.89686E-01    1.62909E-03   -1.41591E+00
    59    1.61380E+03    1.99762E-01    1.65738E-03   -1.71291E+00
    60    1.63571E+03    2.10120E-01    1.68487E-03   -2.02310E+00
    61    1.65780E+03    2.20754E-01    1.71151E-03   -2.34578E+00
    62    1.68008E+03    2.31661E-01    1.73731E-03   -2.68098E+00
    63    1.70257E+03    2.42839E-01    1.76223E-03   -3.02895E+00
    64    1.72526E+03    2.54286E-01    1.78628E-03   -3.38992E+00
    65    1.74819E+03    2.66001E-01    1.80943E-03   -3.76421E+00
    66    1.77139E+03    2.77977E-01    1.83167E-03   -4.15210E+00
    67    1.79485E+03    2.90208E-01    1.85298E-03   -4.55305E+00
    68    1.81852E+03    3.02681E-01    1.87334E-03   -4.96630E+00
    69    1.84235E+03    3.15390E-01    1.89272E-03   -5.39112E+00
    70    1.86633E+03    3.28326E-01    1.91112E-03   -5.82697E+00
    71    1.89043E+03    3.41484E-01    1.92852E-03   -6.27364E+00
    72    1.91475E+03    3.54861E-01    1.94490E-03   -6.73208E+00
    73    1.93942E+03    3.68451E-01    1.96029E-03   -7.20331E+00
    74    1.96445E+03    3.82244E-01    1.97467E-03   -7.68728E+00
