#    L    TT             EE             BB             TE         
    91    2.42754E+03    6.36348E-01    1.96716E-03   -1.73866E+01
    92    2.45677E+03    6.51791E-01    1.96412E-03   -1.80208E+01
    93    2.48622E+03    6.67203E-01    1.96019E-03   -1.86594E+01
    94    2.51590E+03    6.82570E-01    1.95539E-03   -1.93023E+01
    95    2.54580E+03    6.97878E-01    1.94975E-03   -1.99488E+01
    96    2.57593E+03    7.13112E-01    1.94327E-03   -2.05987E+01
    97    2.60629E+03    7.28259E-01    1.93599E-03   -2.12513E+01
    98    2.63688E+03    7.43302E-01    1.92791E-03   -2.19064E+01
    99    2.66768E+03    7.58228E-01    1.91906E-03   -2.25634E+01
   100    2.69871E+03    7.73025E-01    1.90945E-03   -2.32218E+01
   101    2.72996E+03    7.87679E-01    1.89911E-03   -2.38811E+01
   102    2.76143E+03    8.02168E-01    1.88805E-03   -2.45411E+01
   103    2.79310E+03    8.16492E-01    1.87629E-03   -2.52008E+01
   104    2.82498E+03    8.30621E-01    1.86385E-03   -2.58600E+01
   105    2.85706E+03    8.44549E-01    1.85075E-03   -2.65182E+01
   106    2.88933E+03    8.58260E-01    1.83701E-03   -2.71745E+01
   107    2.92179E+03    8.71749E-01    1.82265E-03   -2.78287E+01
   108    2.95441E+03    8.84992E-01    1.80768E-03   -2.84800E+01
   109    2.98721E+03    8.97982E-01    1.79213E-03   -2.91280E+01
   110    3.02018E+03    9.10699E-01    1.77601E-03   -2.97721E+01
   111    3.05330E+03    9.23133E-01    1.75934E-03   -3.04119E+01
   112    3.08658E+03    9.35279E-01    1.74215E-03   -3.10465E+01
   113    3.12000E+03    9.47113E-01    1.72446E-03   -3.16757E+01
   114    3.15356E+03    9.58621E-01    1.70630E-03   -3.22986E+01
   115    3.18724E+03    9.69802E-01    1.68769E-03   -3.29148E+01
   116    3.22106E+03    9.80642E-01    1.66865E-03   -3.35237E+01
   117    3.25499E+03    9.91118E-01    1.64920E-03   -3.41248E+01
   118    3.28902E+03    1.00123E+00    1.62938E-03   -3.47173E+01
   119    3.32316E+03    1.01096E+00    1.60921E-03   -3.53009E+01
   120    3.35738E+03    1.02031E+00    1.58871E-03   -3.58749E+01
   121    3.39169E+03    1.02926E+00    1.56790E-03   -3.64388E+01
   122    3.42607E+03    1.03779E+00    1.54681E-03   -3.69920E+01
   123    3.46051E+03    1.04592E+00    1.52547E-03   -3.75339E+01
   124    3.49501E+03    1.05361E+00    1.50389E-03   -3.80639E+01
   125    3.52954E+03    1.06086E+00    1.48210E-03   -3.85816E+01
   126    3.56412E+03    1.06768E+00    1.46013E-03   -3.90864E+01
   127    3.59872E+03    1.07404E+00    1.43801E-03   -3.95777E+01
   128    3.63333E+03    1.07995E+00    1.41574E-03   -4.00551E+01
   129    3.66796E+03    1.08539E+00    1.39337E-03   -4.05179E+01
