#    L    TT             EE             BB             TE             PP             PT             PE         
   107    2.99818E+03    9.70316E-01    6.44427E-02   -2.99312E+01    9.78048E-08    3.48873E-04   -7.89889E-07
   108    3.02806E+03    9.83499E-01    6.40144E-02   -3.05408E+01    9.71973E-08    3.44997E-04   -7.74345E-07
   109    3.05818E+03    9.96396E-01    6.35674E-02   -3.11464E+01    9.65939E-08    3.41181E-04   -7.61559E-07
   110    3.08853E+03    1.00898E+00    6.31022E-02   -3.17476E+01    9.59947E-08    3.37419E-04   -7.51997E-07
   111    3.11910E+03    1.02126E+00    6.26196E-02   -3.23439E+01    9.53996E-08    3.33708E-04   -7.46004E-07
   112    3.14988E+03    1.03321E+00    6.21204E-02   -3.29346E+01    9.48086E-08    3.30047E-04   -7.43438E-07
   113    3.18088E+03    1.04481E+00    6.16052E-02   -3.35194E+01    9.42219E-08    3.26436E-04   -7.44039E-07
   114    3.21207E+03    1.05606E+00    6.10750E-02   -3.40976E+01    9.36393E-08    3.22875E-04   -7.47543E-07
   115    3.24346E+03    1.06695E+00    6.05306E-02   -3.46687E+01    9.30608E-08    3.19363E-04   -7.53690E-07
   116    3.27503E+03    1.07746E+00    5.99727E-02   -3.52323E+01    9.24866E-08    3.15901E-04   -7.62218E-07
   117    3.30678E+03    1.08759E+00    5.94023E-02   -3.57877E+01    9.19165E-08    3.12489E-04   -7.72866E-07
   118    3.33869E+03    1.09731E+00    5.88200E-02   -3.63344E+01    9.13505E-08    3.09126E-04   -7.85373E-07
   119    3.37077E+03    1.10663E+00    5.82267E-02   -3.68720E+01    9.07887E-08    3.05813E-04   -7.99478E-07
   120    3.40299E+03    1.11554E+00    5.76233E-02   -3.73999E+01    9.02311E-08    3.02548E-04   -8.14919E-07
   121    3.43536E+03    1.12401E+00    5.70105E-02   -3.79175E+01    8.96776E-08    2.99333E-04   -8.31437E-07
   122    3.46784E+03    1.13205E+00    5.63892E-02   -3.84244E+01    8.91282E-08    2.96167E-04   -8.48770E-07
   123    3.50046E+03    1.13964E+00    5.57602E-02   -3.89200E+01    8.85830E-08    2.93050E-04   -8.66659E-07
   124    3.53318E+03    1.14678E+00    5.51242E-02   -3.94038E+01    8.80419E-08    2.89981E-04   -8.84841E-07
   125    3.56600E+03    1.15346E+00    5.44822E-02   -3.98753E+01    8.75050E-08    2.86962E-04   -9.03059E-07
   126    3.59892E+03    1.15967E+00    5.38348E-02   -4.03341E+01    8.69722E-08    2.83991E-04   -9.21050E-07
   127    3.63192E+03    1.16540E+00    5.31830E-02   -4.07795E+01    8.64435E-08    2.81069E-04   -9.38556E-07
   128    3.66498E+03    1.17065E+00    5.25276E-02   -4.12111E+01    8.59190E-08    2.78195E-04   -9.55316E-07
   129    3.69811E+03    1.17542E+00    5.18693E-02   -4.16285E+01    8.53986E-08    2.75370E-04   -9.71069E-07
   130    3.73129E+03    1.17968E+00    5.12090E-02   -4.20311E+01    8.48824E-08    2.72593E-04   -9.85557E-07
   131    3.76450E+03    1.18345E+00    5.05474E-02   -4.24185E+01    8.43703E-08    2.69865E-04   -9.98571E-07
   132    3.79775E+03    1.18671E+00    4.98853E-02   -4.27901E+01    8.38623E-08    2.67183E-04   -1.01011E-06
   133    3.83103E+03    1.18947E+00    4.92231E-02   -4.31456E+01    8.33584E-08    2.64547E-04   -1.02022E-06
   134    3.86432E+03    1.19173E+00    4.85615E-02   -4.34844E+01    8.28586E-08    2.61956E-04   -1.02895E-06
   135    3.89761E+03    1.19348E+00    4.79011E-02   -4.38063E+01    8.23628E-08    2.59407E-04   -1.03636E-06
   136    3.93091E+03    1.19472E+00    4.72425E-02   -4.41107E+01    8.18710E-08    2.56901E-04   -1.04248E-06
   137    3.96420E+03    1.19545E+00    4.65862E-02   -4.43971E+01    8.13831E-08    2.54435E-04   -1.04737E-06
   138    3.99747E+03    1.19567E+00    4.59329E-02   -4.46652E+01    8.08992E-08    2.52008E-04   -1.05109E-06
   139    4.03071E+03    1.19538E+00    4.52832E-02   -4.49146E+01    8.04192E-08    2.49619E-04   -1.05367E-06
   140    4.06392E+03    1.19459E+00    4.46376E-02   -4.51449E+01    7.99431E-08    2.47267E-04   -1.05516E-06
   141    4.09709E+03    1.19331E+00    4.39968E-02   -4.53559E+01    7.94709E-08    2.44950E-04   -1.05562E-06
   142    4.13020E+03    1.19152E+00    4.33614E-02   -4.55469E+01    7.90025E-08    2.42668E-04   -1.05510E-06
   143    4.16326E+03    1.18923E+00    4.27318E-02   -4.57178E+01    7.85379E-08    2.40418E-04   -1.05364E-06
   144    4.19624E+03    1.18646E+00    4.21088E-02   -4.58681E+01    7.80770E-08    2.38200E-04   -1.05129E-06
   145    4.22915E+03    1.18320E+00    4.14930E-02   -4.59974E+01    7.76199E-08    2.36012E-04   -1.04811E-06
   146    4.26195E+03    1.17946E+00    4.08849E-02   -4.61056E+01    7.71665E-08    2.33853E-04   -1.04413E-06
   147    4.29464E+03    1.17525E+00    4.02851E-02   -4.61919E+01    7.67169E-08    2.31721E-04   -1.03941E-06
   148    4.32721E+03    1.17057E+00    3.96943E-02   -4.62563E+01    7.62709E-08    2.29616E-04   -1.03400E-06
   149    4.35963E+03    1.16544E+00    3.91129E-02   -4.62983E+01    7.58285E-08    2.27537E-04   -1.02795E-06
   150    4.39189E+03    1.15986E+00    3.85417E-02   -4.63174E+01    7.53897E-08    2.25481E-04   -1.02130E-06
   151    4.42398E+03    1.15384E+00    3.79811E-02   -4.63135E+01    7.49546E-08    2.23447E-04   -1.01410E-06
   152    4.45589E+03    1.14739E+00    3.74314E-02   -4.62863E+01    7.45230E-08    2.21437E-04   -1.00638E-06
   153    4.48761E+03    1.14053E+00    3.68928E-02   -4.62354E+01    7.40949E-08    2.19448E-04   -9.98154E-07
   154    4.51915E+03    1.13327E+00    3.63656E-02   -4.61607E+01    7.36704E-08    2.17482E-04   -9.89446E-07
   155    4.55049E+03    1.12560E+00    3.58499E-02   -4.60618E+01    7.32493E-08    2.15537E-04   -9.80277E-07
   156    4.58163E+03    1.11756E+00    3.53458E-02   -4.59386E+01    7.28318E-08    2.13615E-04   -9.70667E-07
   157    4.61256E+03    1.10915E+00    3.48537E-02   -4.57908E+01    7.24176E-08    2.11713E-04   -9.60638E-07
   158    4.64329E+03    1.10039E+00    3.43737E-02   -4.56182E+01    7.20069E-08    2.09834E-04   -9.50210E-07
   159    4.67378E+03    1.09129E+00    3.39061E-02   -4.54206E+01    7.15996E-08    2.07976E-04   -9.39406E-07
   160    4.70405E+03    1.08187E+00    3.34509E-02   -4.51978E+01    7.11956E-08    2.06139E-04   -9.28246E-07
   161    4.73406E+03    1.07215E+00    3.30085E-02   -4.49494E+01    7.07950E-08    2.04323E-04   -9.16750E-07
   162    4.76380E+03    1.06213E+00    3.25790E-02   -4.46755E+01    7.03978E-08    2.02527E-04   -9.04941E-07
   163    4.79327E+03    1.05186E+00    3.21626E-02   -4.43757E+01    7.00038E-08    2.00753E-04   -8.92838E-07
   164    4.82244E+03    1.04133E+00    3.17595E-02   -4.40500E+01    6.96131E-08    1.98999E-04   -8.80463E-07
   165    4.85131E+03    1.03056E+00    3.13699E-02   -4.36980E+01    6.92256E-08    1.97266E-04   -8.67838E-07
   166    4.87987E+03    1.01958E+00    3.09940E-02   -4.33198E+01    6.88414E-08    1.95553E-04   -8.54982E-07
   167    4.90811E+03    1.00842E+00    3.06321E-02   -4.29151E+01    6.84604E-08    1.93860E-04   -8.41918E-07
   168    4.93601E+03    9.97085E-01    3.02842E-02   -4.24841E+01    6.80826E-08    1.92187E-04   -8.28665E-07
   169    4.96358E+03    9.85611E-01    2.99507E-02   -4.20265E+01    6.77080E-08    1.90533E-04   -8.15246E-07
   170    4.99080E+03    9.74009E-01    2.96316E-02   -4.15424E+01    6.73365E-08    1.88900E-04   -8.01680E-07
   171    5.01765E+03    9.62311E-01    2.93272E-02   -4.10316E+01    6.69681E-08    1.87286E-04   -7.87990E-07
   172    5.04414E+03    9.50540E-01    2.90377E-02   -4.04942E+01    6.66028E-08    1.85691E-04   -7.74195E-07
   173    5.07026E+03    9.38718E-01    2.87632E-02   -3.99300E+01    6.62406E-08    1.84116E-04   -7.60318E-07
   174    5.09598E+03    9.26869E-01    2.85041E-02   -3.93391E+01    6.58814E-08    1.82559E-04   -7.46378E-07
   175    5.12132E+03    9.15030E-01    2.82604E-02   -3.87217E+01    6.55253E-08    1.81022E-04   -7.32397E-07
   176    5.14625E+03    9.03217E-01    2.80323E-02   -3.80776E+01    6.51722E-08    1.79503E-04   -7.18393E-07
   177    5.17076E+03    8.91468E-01    2.78195E-02   -3.74069E+01    6.48220E-08    1.78003E-04   -7.04368E-07
   178    5.19484E+03    8.79806E-01    2.76220E-02   -3.67096E+01    6.44748E-08    1.76521E-04   -6.90322E-07
   179    5.21850E+03    8.68253E-01    2.74393E-02   -3.59857E+01    6.41305E-08    1.75056E-04   -6.76256E-07
   180    5.24171E+03    8.56848E-01    2.72712E-02   -3.52352E+01    6.37891E-08    1.73608E-04   -6.62169E-07
   181    5.26447E+03    8.45620E-01    2.71176E-02   -3.44584E+01    6.34506E-08    1.72177E-04   -6.48061E-07
   182    5.28678E+03    8.34601E-01    2.69781E-02   -3.36553E+01    6.31148E-08    1.70763E-04   -6.33932E-07
   183    5.30863E+03    8.23812E-01    2.68524E-02   -3.28260E+01    6.27819E-08    1.69364E-04   -6.19781E-07
   184    5.33001E+03    8.13292E-01    2.67404E-02   -3.19708E+01    6.24518E-08    1.67981E-04   -6.05609E-07
   185    5.35090E+03    8.03078E-01    2.66418E-02   -3.10895E+01    6.21244E-08    1.66613E-04   -5.91415E-07
   186    5.37131E+03    7.93193E-01    2.65562E-02   -3.01824E+01    6.17997E-08    1.65260E-04   -5.77199E-07
   187    5.39122E+03    7.83668E-01    2.64835E-02   -2.92497E+01    6.14777E-08    1.63921E-04   -5.62961E-07
   188    5.41063E+03    7.74544E-01    2.64234E-02   -2.82917E+01    6.11584E-08    1.62596E-04   -5.48701E-07
   189    5.42953E+03    7.65853E-01    2.63757E-02   -2.73083E+01    6.08417E-08    1.61284E-04   -5.34418E-07
   190    5.44792E+03    7.57629E-01    2.63400E-02   -2.63000E+01    6.05276E-08    1.59986E-04   -5.20112E-07
   191    5.46578E+03    7.49904E-01    2.63161E-02   -2.52670E+01    6.02161E-08    1.58700E-04   -5.05784E-07
   192    5.48310E+03    7.42715E-01    2.63038E-02   -2.42093E+01    5.99071E-08    1.57426E-04   -4.91433E-07
   193    5.49987E+03    7.36095E-01    2.63029E-02   -2.31273E+01    5.96006E-08    1.56165E-04   -4.77058E-07
   194    5.51611E+03    7.30080E-01    2.63130E-02   -2.20214E+01    5.92966E-08    1.54914E-04   -4.62660E-07
   195    5.53179E+03    7.24706E-01    2.63338E-02   -2.08917E+01    5.89951E-08    1.53675E-04   -4.48239E-07
   196    5.54692E+03    7.20009E-01    2.63652E-02   -1.97387E+01    5.86960E-08    1.52447E-04   -4.33794E-07
   197    5.56150E+03    7.16028E-01    2.64069E-02   -1.85626E+01    5.83993E-08    1.51228E-04   -4.19325E-07
   198    5.57552E+03    7.12798E-01    2.64586E-02   -1.73639E+01    5.81050E-08    1.50020E-04   -4.04832E-07
   199    5.58896E+03    7.10355E-01    2.65201E-02   -1.61427E+01    5.78130E-08    1.48821E-04   -3.90314E-07
   200    5.60184E+03    7.08735E-01    2.65911E-02   -1.48997E+01    5.75233E-08    1.47631E-04   -3.75773E-07
   201    5.61414E+03    7.07977E-01    2.66713E-02   -1.36349E+01    5.72360E-08    1.46450E-04   -3.61207E-07
   202    5.62585E+03    7.08115E-01    2.67605E-02   -1.23491E+01    5.69509E-08    1.45277E-04   -3.46619E-07
   203    5.63696E+03    7.09186E-01    2.68584E-02   -1.10423E+01    5.66680E-08    1.44113E-04   -3.32010E-07
   204    5.64747E+03    7.11226E-01    2.69647E-02   -9.71517E+00    5.63874E-08    1.42957E-04   -3.17383E-07
   205    5.65734E+03    7.14271E-01    2.70792E-02   -8.36808E+00    5.61090E-08    1.41810E-04   -3.02740E-07
   206    5.66660E+03    7.18356E-01    2.72015E-02   -7.00141E+00    5.58328E-08    1.40671E-04   -2.88083E-07
   207    5.67521E+03    7.23518E-01    2.73315E-02   -5.61553E+00    5.55587E-08    1.39540E-04   -2.73414E-07
   208    5.68318E+03    7.29792E-01    2.74689E-02   -4.21105E+00    5.52868E-08    1.38418E-04   -2.58734E-07
   209    5.69053E+03    7.37214E-01    2.76133E-02   -2.78848E+00    5.50171E-08    1.37304E-04   -2.44047E-07
   210    5.69726E+03    7.45820E-01    2.77645E-02   -1.34838E+00    5.47495E-08    1.36198E-04   -2.29354E-07
   211    5.70335E+03    7.55647E-01    2.79222E-02    1.08707E-01    5.44839E-08    1.35100E-04   -2.14658E-07
   212    5.70884E+03    7.66729E-01    2.80862E-02    1.58223E+00    5.42205E-08    1.34011E-04   -1.99959E-07
   213    5.71373E+03    7.79103E-01    2.82562E-02    3.07164E+00    5.39591E-08    1.32929E-04   -1.85262E-07
   214    5.71801E+03    7.92806E-01    2.84319E-02    4.57638E+00    5.36997E-08    1.31855E-04   -1.70566E-07
   215    5.72168E+03    8.07865E-01    2.86130E-02    6.09589E+00    5.34424E-08    1.30790E-04   -1.55876E-07
   216    5.72475E+03    8.24326E-01    2.87993E-02    7.62956E+00    5.31871E-08    1.29732E-04   -1.41192E-07
   217    5.72719E+03    8.42218E-01    2.89905E-02    9.17679E+00    5.29338E-08    1.28682E-04   -1.26516E-07
   218    5.72902E+03    8.61568E-01    2.91863E-02    1.07371E+01    5.26824E-08    1.27639E-04   -1.11852E-07
   219    5.73022E+03    8.82422E-01    2.93864E-02    1.23098E+01    5.24330E-08    1.26605E-04   -9.72006E-08
   220    5.73080E+03    9.04807E-01    2.95907E-02    1.38943E+01    5.21855E-08    1.25578E-04   -8.25642E-08
   221    5.73075E+03    9.28752E-01    2.97987E-02    1.54900E+01    5.19399E-08    1.24559E-04   -6.79450E-08
   222    5.73006E+03    9.54302E-01    3.00102E-02    1.70964E+01    5.16962E-08    1.23547E-04   -5.33449E-08
   223    5.72873E+03    9.81477E-01    3.02250E-02    1.87127E+01    5.14544E-08    1.22543E-04   -3.87661E-08
   224    5.72679E+03    1.01031E+00    3.04427E-02    2.03384E+01    5.12144E-08    1.21547E-04   -2.42107E-08
   225    5.72422E+03    1.04083E+00    3.06631E-02    2.19726E+01    5.09763E-08    1.20557E-04   -9.68076E-09
   226    5.72101E+03    1.07308E+00    3.08859E-02    2.36149E+01    5.07400E-08    1.19576E-04    4.82168E-09
   227    5.71718E+03    1.10708E+00    3.11109E-02    2.52646E+01    5.05055E-08    1.18601E-04    1.92945E-08
   228    5.71273E+03    1.14286E+00    3.13377E-02    2.69209E+01    5.02728E-08    1.17634E-04    3.37356E-08
   229    5.70766E+03    1.18045E+00    3.15662E-02    2.85832E+01    5.00418E-08    1.16674E-04    4.81430E-08
   230    5.70197E+03    1.21988E+00    3.17959E-02    3.02509E+01    4.98126E-08    1.15721E-04    6.25145E-08
