#    L    TT             EE             BB             TE             PP             PT             PE         
     2    1.54747E+03    4.80766E-02    1.80507E-02    3.40975E+00    5.06023E-08    3.10907E-03   -1.35887E-05
     3    1.39041E+03    6.54728E-02    1.90011E-02    3.30218E+00    6.15797E-08    3.10836E-03   -1.54512E-05
     4    1.31046E+03    6.37176E-02    1.71050E-02    3.04159E+00    7.09454E-08    3.03297E-03   -1.42216E-05
     5    1.25944E+03    4.93938E-02    1.38330E-02    2.62161E+00    7.90648E-08    2.92988E-03   -1.11103E-05
     6    1.22684E+03    3.24488E-02    1.03861E-02    2.15342E+00    8.61492E-08    2.81885E-03   -7.16578E-06
     7    1.20719E+03    1.93974E-02    7.49562E-03    1.71406E+00    9.23851E-08    2.70966E-03   -3.26322E-06
     8    1.19605E+03    1.19593E-02    5.44760E-03    1.34527E+00    9.79020E-08    2.60261E-03   -6.72104E-08
     9    1.19133E+03    8.80932E-03    4.23995E-03    1.06218E+00    1.02811E-07    2.49691E-03    2.02684E-06
    10    1.19124E+03    7.86130E-03    3.72855E-03    8.68956E-01    1.07182E-07    2.39461E-03    2.95954E-06
    11    1.19384E+03    7.66781E-03    3.72463E-03    7.55487E-01    1.11110E-07    2.30054E-03    2.95153E-06
    12    1.19927E+03    7.69487E-03    4.06184E-03    7.09089E-01    1.14599E-07    2.21416E-03    2.31156E-06
    13    1.20572E+03    7.89315E-03    4.60829E-03    7.11535E-01    1.17752E-07    2.13850E-03    1.30678E-06
    14    1.21350E+03    8.38711E-03    5.27960E-03    7.31462E-01    1.20558E-07    2.06629E-03    1.75884E-07
    15    1.22201E+03    9.18287E-03    6.02563E-03    7.60263E-01    1.23092E-07    1.99780E-03   -8.11493E-07
    16    1.23269E+03    1.01922E-02    6.82026E-03    7.92801E-01    1.25358E-07    1.93000E-03   -1.39238E-06
    17    1.24501E+03    1.13577E-02    7.65244E-03    8.22672E-01    1.27384E-07    1.86421E-03   -1.55007E-06
    18    1.25755E+03    1.26492E-02    8.51519E-03    8.46638E-01    1.29204E-07    1.80271E-03   -1.36278E-06
    19    1.27103E+03    1.41013E-02    9.40676E-03    8.67847E-01    1.30828E-07    1.74514E-03   -1.03589E-06
    20    1.28391E+03    1.57418E-02    1.03265E-02    8.81955E-01    1.32266E-07    1.69060E-03   -7.55824E-07
    21    1.29697E+03    1.75869E-02    1.12733E-02    8.95158E-01    1.33538E-07    1.63861E-03   -5.17376E-07
    22    1.31030E+03    1.96573E-02    1.22456E-02    9.09788E-01    1.34666E-07    1.58888E-03   -2.87651E-07
    23    1.32353E+03    2.19308E-02    1.32416E-02    9.25713E-01    1.35659E-07    1.54154E-03   -1.10672E-07
    24    1.33696E+03    2.43873E-02    1.42594E-02    9.41841E-01    1.36525E-07    1.49672E-03   -4.48166E-08
    25    1.35075E+03    2.70276E-02    1.52970E-02    9.51249E-01    1.37273E-07    1.45436E-03   -1.30869E-07
    26    1.36442E+03    2.98604E-02    1.63527E-02    9.57709E-01    1.37917E-07    1.41425E-03   -3.71750E-07
    27    1.37841E+03    3.28796E-02    1.74266E-02    9.60629E-01    1.38465E-07    1.37592E-03   -6.37318E-07
    28    1.39253E+03    3.60647E-02    1.85186E-02    9.53518E-01    1.38925E-07    1.33896E-03   -7.92857E-07
    29    1.40670E+03    3.94489E-02    1.96282E-02    9.39875E-01    1.39295E-07    1.30353E-03   -8.14569E-07
    30    1.42112E+03    4.30699E-02    2.07541E-02    9.11652E-01    1.39578E-07    1.26981E-03   -7.23894E-07
    31    1.43521E+03    4.69184E-02    2.18950E-02    8.78600E-01    1.39784E-07    1.23760E-03   -6.12839E-07
    32    1.44980E+03    5.10044E-02    2.30495E-02    8.35175E-01    1.39925E-07    1.20665E-03   -5.66659E-07
    33    1.46435E+03    5.52922E-02    2.42158E-02    7.81225E-01    1.40006E-07    1.17678E-03   -5.74985E-07
    34    1.47882E+03    5.98139E-02    2.53917E-02    7.19756E-01    1.40029E-07    1.14788E-03   -5.99873E-07
    35    1.49379E+03    6.45800E-02    2.65736E-02    6.44025E-01    1.39998E-07    1.11984E-03   -5.87982E-07
    36    1.50838E+03    6.96174E-02    2.77584E-02    5.66042E-01    1.39916E-07    1.09267E-03   -5.04216E-07
    37    1.52311E+03    7.49298E-02    2.89481E-02    4.78644E-01    1.39789E-07    1.06684E-03   -4.01063E-07
    38    1.53811E+03    8.04867E-02    3.01447E-02    3.82099E-01    1.39618E-07    1.04272E-03   -3.36965E-07
    39    1.55327E+03    8.62923E-02    3.13455E-02    2.75954E-01    1.39407E-07    1.01998E-03   -3.07630E-07
    40    1.56852E+03    9.23619E-02    3.25464E-02    1.58555E-01    1.39156E-07    9.98129E-04   -2.93181E-07
    41    1.58377E+03    9.87087E-02    3.37439E-02    2.88266E-02    1.38869E-07    9.76762E-04   -2.77382E-07
    42    1.59902E+03    1.05337E-01    3.49365E-02   -1.12073E-01    1.38548E-07    9.55849E-04   -2.58281E-07
    43    1.61431E+03    1.12247E-01    3.61233E-02   -2.62823E-01    1.38195E-07    9.35453E-04   -2.37484E-07
    44    1.62967E+03    1.19439E-01    3.73036E-02   -4.23708E-01    1.37812E-07    9.15638E-04   -2.16592E-07
    45    1.64518E+03    1.26909E-01    3.84763E-02   -5.95317E-01    1.37402E-07    8.96469E-04   -1.97200E-07
    46    1.66082E+03    1.34653E-01    3.96406E-02   -7.77808E-01    1.36968E-07    8.77986E-04   -1.82103E-07
    47    1.67657E+03    1.42677E-01    4.07950E-02   -9.71474E-01    1.36510E-07    8.60136E-04   -1.78894E-07
    48    1.69241E+03    1.50980E-01    4.19379E-02   -1.17666E+00    1.36031E-07    8.42841E-04   -1.96350E-07
    49    1.70833E+03    1.59562E-01    4.30680E-02   -1.39363E+00    1.35533E-07    8.26028E-04   -2.43225E-07
    50    1.72439E+03    1.68436E-01    4.41835E-02   -1.62252E+00    1.35017E-07    8.09619E-04   -3.28258E-07
    51    1.74065E+03    1.77609E-01    4.52832E-02   -1.86326E+00    1.34484E-07    7.93565E-04   -4.54100E-07
    52    1.75707E+03    1.87084E-01    4.63662E-02   -2.11511E+00    1.33936E-07    7.77914E-04   -5.99137E-07
    53    1.77357E+03    1.96855E-01    4.74315E-02   -2.37741E+00    1.33373E-07    7.62739E-04   -7.35740E-07
    54    1.79014E+03    2.06918E-01    4.84784E-02   -2.65034E+00    1.32797E-07    7.48113E-04   -8.36340E-07
    55    1.80676E+03    2.17270E-01    4.95060E-02   -2.93446E+00    1.32209E-07    7.34109E-04   -8.73421E-07
    56    1.82357E+03    2.27902E-01    5.05135E-02   -3.23085E+00    1.31609E-07    7.20773E-04   -8.29248E-07
    57    1.84066E+03    2.38812E-01    5.14998E-02   -3.54012E+00    1.30999E-07    7.08048E-04   -7.25025E-07
    58    1.85799E+03    2.49998E-01    5.24639E-02   -3.86206E+00    1.30378E-07    6.95846E-04   -5.91632E-07
    59    1.87548E+03    2.61462E-01    5.34046E-02   -4.19619E+00    1.29748E-07    6.84085E-04   -4.59892E-07
    60    1.89311E+03    2.73197E-01    5.43209E-02   -4.54162E+00    1.29109E-07    6.72679E-04   -3.60576E-07
    61    1.91090E+03    2.85195E-01    5.52118E-02   -4.89755E+00    1.28461E-07    6.61551E-04   -3.17098E-07
    62    1.92886E+03    2.97454E-01    5.60766E-02   -5.26405E+00    1.27806E-07    6.50646E-04   -3.23625E-07
    63    1.94700E+03    3.09969E-01    5.69150E-02   -5.64138E+00    1.27144E-07    6.39919E-04   -3.67037E-07
    64    1.96534E+03    3.22737E-01    5.77265E-02   -6.02982E+00    1.26477E-07    6.29323E-04   -4.34239E-07
    65    1.98392E+03    3.35757E-01    5.85106E-02   -6.42970E+00    1.25806E-07    6.18811E-04   -5.12155E-07
    66    2.00276E+03    3.49019E-01    5.92668E-02   -6.84131E+00    1.25131E-07    6.08359E-04   -5.89116E-07
    67    2.02185E+03    3.62515E-01    5.99945E-02   -7.26404E+00    1.24453E-07    5.98032E-04   -6.59024E-07
    68    2.04116E+03    3.76232E-01    6.06931E-02   -7.69703E+00    1.23772E-07    5.87917E-04   -7.17174E-07
    69    2.06064E+03    3.90160E-01    6.13618E-02   -8.13946E+00    1.23090E-07    5.78102E-04   -7.58869E-07
    70    2.08026E+03    4.04291E-01    6.20001E-02   -8.59070E+00    1.22405E-07    5.68673E-04   -7.79414E-07
    71    2.10001E+03    4.18618E-01    6.26075E-02   -9.05048E+00    1.21720E-07    5.59695E-04   -7.76016E-07
    72    2.11999E+03    4.33139E-01    6.31838E-02   -9.51986E+00    1.21033E-07    5.51138E-04   -7.53465E-07
    73    2.14033E+03    4.47848E-01    6.37291E-02   -9.99998E+00    1.20345E-07    5.42950E-04   -7.18437E-07
    74    2.16105E+03    4.62736E-01    6.42435E-02   -1.04909E+01    1.19656E-07    5.35080E-04   -6.77603E-07
    75    2.18214E+03    4.77794E-01    6.47272E-02   -1.09925E+01    1.18966E-07    5.27476E-04   -6.37622E-07
    76    2.20357E+03    4.93007E-01    6.51800E-02   -1.15043E+01    1.18275E-07    5.20087E-04   -6.04454E-07
    77    2.22522E+03    5.08363E-01    6.56020E-02   -1.20247E+01    1.17584E-07    5.12875E-04   -5.81271E-07
    78    2.24706E+03    5.23846E-01    6.59929E-02   -1.25533E+01    1.16892E-07    5.05798E-04   -5.70546E-07
    79    2.26915E+03    5.39442E-01    6.63525E-02   -1.30896E+01    1.16200E-07    4.98820E-04   -5.74751E-07
    80    2.29151E+03    5.55136E-01    6.66807E-02   -1.36337E+01    1.15509E-07    4.91902E-04   -5.96355E-07
    81    2.31415E+03    5.70915E-01    6.69773E-02   -1.41851E+01    1.14819E-07    4.85016E-04   -6.36386E-07
    82    2.33710E+03    5.86770E-01    6.72425E-02   -1.47436E+01    1.14130E-07    4.78180E-04   -6.90109E-07
    83    2.36033E+03    6.02689E-01    6.74762E-02   -1.53089E+01    1.13443E-07    4.71426E-04   -7.51357E-07
    84    2.38385E+03    6.18663E-01    6.76785E-02   -1.58806E+01    1.12757E-07    4.64783E-04   -8.13965E-07
    85    2.40765E+03    6.34683E-01    6.78496E-02   -1.64586E+01    1.12073E-07    4.58280E-04   -8.71775E-07
    86    2.43173E+03    6.50739E-01    6.79894E-02   -1.70424E+01    1.11392E-07    4.51943E-04   -9.19836E-07
    87    2.45606E+03    6.66817E-01    6.80984E-02   -1.76315E+01    1.10714E-07    4.45770E-04   -9.58003E-07
    88    2.48062E+03    6.82903E-01    6.81765E-02   -1.82254E+01    1.10038E-07    4.39755E-04   -9.87335E-07
    89    2.50543E+03    6.98982E-01    6.82241E-02   -1.88236E+01    1.09364E-07    4.33894E-04   -1.00889E-06
    90    2.53048E+03    7.15035E-01    6.82414E-02   -1.94260E+01    1.08694E-07    4.28180E-04   -1.02371E-06
    91    2.55580E+03    7.31049E-01    6.82286E-02   -2.00319E+01    1.08027E-07    4.22607E-04   -1.03277E-06
    92    2.58137E+03    7.47008E-01    6.81863E-02   -2.06412E+01    1.07362E-07    4.17170E-04   -1.03664E-06
    93    2.60722E+03    7.62897E-01    6.81152E-02   -2.12535E+01    1.06701E-07    4.11865E-04   -1.03577E-06
    94    2.63334E+03    7.78705E-01    6.80158E-02   -2.18686E+01    1.06043E-07    4.06687E-04   -1.03064E-06
    95    2.65975E+03    7.94417E-01    6.78889E-02   -2.24861E+01    1.05388E-07    4.01632E-04   -1.02173E-06
    96    2.68644E+03    8.10019E-01    6.77349E-02   -2.31056E+01    1.04737E-07    3.96695E-04   -1.00950E-06
    97    2.71341E+03    8.25495E-01    6.75547E-02   -2.37266E+01    1.04089E-07    3.91871E-04   -9.94415E-07
    98    2.74067E+03    8.40832E-01    6.73487E-02   -2.43489E+01    1.03444E-07    3.87157E-04   -9.76953E-07
    99    2.76819E+03    8.56016E-01    6.71177E-02   -2.49720E+01    1.02803E-07    3.82546E-04   -9.57580E-07
   100    2.79600E+03    8.71035E-01    6.68622E-02   -2.55954E+01    1.02165E-07    3.78035E-04   -9.36763E-07
   101    2.82409E+03    8.85875E-01    6.65830E-02   -2.62186E+01    1.01531E-07    3.73620E-04   -9.14970E-07
   102    2.85245E+03    9.00514E-01    6.62805E-02   -2.68416E+01    1.00901E-07    3.69295E-04   -8.92668E-07
   103    2.88108E+03    9.14952E-01    6.59555E-02   -2.74634E+01    1.00274E-07    3.65057E-04   -8.70326E-07
   104    2.90997E+03    9.29161E-01    6.56086E-02   -2.80838E+01    9.96509E-08    3.60899E-04   -8.48411E-07
   105    2.93912E+03    9.43132E-01    6.52404E-02   -2.87022E+01    9.90317E-08    3.56820E-04   -8.27388E-07
   106    2.96853E+03    9.56853E-01    6.48515E-02   -2.93182E+01    9.84163E-08    3.52812E-04   -8.07725E-07
