#    L    TT             EE             BB             TE             PP             PT             PE         
     2    1.06436E+03    3.80506E-02    6.29298E-04    2.90915E+00    5.06023E-08    3.10907E-03   -1.35887E-05
     3    1.00237E+03    5.41819E-02    6.59048E-04    3.38928E+00    6.15797E-08    3.10836E-03   -1.54512E-05
     4    9.45160E+02    5.29745E-02    5.92374E-04    3.30324E+00    7.09454E-08    3.03297E-03   -1.42216E-05
     5    9.02073E+02    4.05174E-02    4.80407E-04    2.92148E+00    7.90648E-08    2.92988E-03   -1.11103E-05
     6    8.71979E+02    2.57944E-02    3.64229E-04    2.43759E+00    8.61492E-08    2.81885E-03   -7.16578E-06
     7    8.52216E+02    1.46229E-02    2.68456E-04    1.96680E+00    9.23851E-08    2.70966E-03   -3.26322E-06
     8    8.39822E+02    8.40931E-03    2.02453E-04    1.56978E+00    9.79020E-08    2.60261E-03   -6.72104E-08
     9    8.33219E+02    5.80850E-03    1.65836E-04    1.26750E+00    1.02811E-07    2.49691E-03    2.02684E-06
    10    8.30958E+02    4.88508E-03    1.53492E-04    1.06390E+00    1.07182E-07    2.39461E-03    2.95954E-06
    11    8.31585E+02    4.37190E-03    1.58900E-04    9.50699E-01    1.11110E-07    2.30054E-03    2.95153E-06
    12    8.35690E+02    3.86836E-03    1.76361E-04    9.13254E-01    1.14599E-07    2.21416E-03    2.31156E-06
    13    8.41264E+02    3.44422E-03    2.01395E-04    9.27340E-01    1.17752E-07    2.13850E-03    1.30678E-06
    14    8.48202E+02    3.24145E-03    2.31149E-04    9.66826E-01    1.20558E-07    2.06629E-03    1.75884E-07
    15    8.55419E+02    3.29080E-03    2.63937E-04    1.01865E+00    1.23092E-07    1.99780E-03   -8.11493E-07
    16    8.64644E+02    3.51693E-03    2.98885E-04    1.07906E+00    1.25358E-07    1.93000E-03   -1.39238E-06
    17    8.75689E+02    3.86426E-03    3.35628E-04    1.14132E+00    1.27384E-07    1.86421E-03   -1.55007E-06
    18    8.87384E+02    4.30287E-03    3.73938E-04    1.20084E+00    1.29204E-07    1.80271E-03   -1.36278E-06
    19    9.00472E+02    4.86816E-03    4.13760E-04    1.25987E+00    1.30828E-07    1.74514E-03   -1.03589E-06
    20    9.13331E+02    5.58858E-03    4.55080E-04    1.31350E+00    1.32266E-07    1.69060E-03   -7.55824E-07
    21    9.26661E+02    6.47991E-03    4.97858E-04    1.36841E+00    1.33538E-07    1.63861E-03   -5.17376E-07
    22    9.40489E+02    7.56266E-03    5.42050E-04    1.42745E+00    1.34666E-07    1.58888E-03   -2.87651E-07
    23    9.54418E+02    8.81642E-03    5.87601E-04    1.49016E+00    1.35659E-07    1.54154E-03   -1.10672E-07
    24    9.68759E+02    1.02237E-02    6.34451E-04    1.55500E+00    1.36525E-07    1.49672E-03   -4.48166E-08
    25    9.83644E+02    1.17886E-02    6.82538E-04    1.61483E+00    1.37273E-07    1.45436E-03   -1.30869E-07
    26    9.98587E+02    1.35234E-02    7.31810E-04    1.67323E+00    1.37917E-07    1.41425E-03   -3.71750E-07
    27    1.01399E+03    1.54273E-02    7.82269E-04    1.72912E+00    1.38465E-07    1.37592E-03   -6.37318E-07
    28    1.02969E+03    1.74816E-02    8.33921E-04    1.77563E+00    1.38925E-07    1.33896E-03   -7.92857E-07
    29    1.04561E+03    1.97086E-02    8.86743E-04    1.81681E+00    1.39295E-07    1.30353E-03   -8.14569E-07
    30    1.06194E+03    2.21347E-02    9.40699E-04    1.84513E+00    1.39578E-07    1.26981E-03   -7.23894E-07
    31    1.07807E+03    2.47540E-02    9.95747E-04    1.86994E+00    1.39784E-07    1.23760E-03   -6.12839E-07
    32    1.09483E+03    2.75835E-02    1.05184E-03    1.88514E+00    1.39925E-07    1.20665E-03   -5.66659E-07
    33    1.11167E+03    3.05982E-02    1.10893E-03    1.89039E+00    1.40006E-07    1.17678E-03   -5.74985E-07
    34    1.12858E+03    3.38383E-02    1.16693E-03    1.88857E+00    1.40029E-07    1.14788E-03   -5.99873E-07
    35    1.14612E+03    3.73100E-02    1.22575E-03    1.87284E+00    1.39998E-07    1.11984E-03   -5.87982E-07
    36    1.16338E+03    4.10337E-02    1.28527E-03    1.85507E+00    1.39916E-07    1.09267E-03   -5.04216E-07
    37    1.18090E+03    4.50124E-02    1.34556E-03    1.82786E+00    1.39789E-07    1.06684E-03   -4.01063E-07
