#    L    TT             EE             BB             TE         
    91    2.46519E+03    6.63993E-01    2.09830E-02   -1.81792E+01
    92    2.49332E+03    6.79580E-01    2.09506E-02   -1.88062E+01
    93    2.52169E+03    6.95123E-01    2.09087E-02   -1.94373E+01
    94    2.55029E+03    7.10611E-01    2.08575E-02   -2.00721E+01
    95    2.57915E+03    7.26028E-01    2.07973E-02   -2.07102E+01
    96    2.60824E+03    7.41361E-01    2.07282E-02   -2.13513E+01
    97    2.63758E+03    7.56595E-01    2.06505E-02   -2.19948E+01
    98    2.66717E+03    7.71714E-01    2.05644E-02   -2.26405E+01
    99    2.69699E+03    7.86706E-01    2.04699E-02   -2.32877E+01
   100    2.72705E+03    8.01558E-01    2.03675E-02   -2.39360E+01
   101    2.75735E+03    8.16256E-01    2.02571E-02   -2.45849E+01
   102    2.78789E+03    8.30778E-01    2.01392E-02   -2.52342E+01
   103    2.81865E+03    8.45124E-01    2.00137E-02   -2.58830E+01
   104    2.84964E+03    8.59265E-01    1.98811E-02   -2.65311E+01
   105    2.88084E+03    8.73194E-01    1.97413E-02   -2.71778E+01
   106    2.91225E+03    8.86896E-01    1.95948E-02   -2.78225E+01
   107    2.94387E+03    9.00364E-01    1.94416E-02   -2.84648E+01
   108    2.97567E+03    9.13576E-01    1.92819E-02   -2.91042E+01
   109    3.00768E+03    9.26526E-01    1.91160E-02   -2.97401E+01
   110    3.03986E+03    9.39191E-01    1.89441E-02   -3.03719E+01
   111    3.07222E+03    9.51564E-01    1.87663E-02   -3.09992E+01
   112    3.10475E+03    9.63637E-01    1.85830E-02   -3.16212E+01
   113    3.13745E+03    9.75389E-01    1.83943E-02   -3.22377E+01
   114    3.17031E+03    9.86805E-01    1.82005E-02   -3.28479E+01
   115    3.20331E+03    9.97884E-01    1.80020E-02   -3.34512E+01
   116    3.23646E+03    1.00861E+00    1.77989E-02   -3.40472E+01
   117    3.26974E+03    1.01897E+00    1.75915E-02   -3.46353E+01
   118    3.30315E+03    1.02895E+00    1.73801E-02   -3.52148E+01
   119    3.33667E+03    1.03854E+00    1.71649E-02   -3.57853E+01
   120    3.37030E+03    1.04774E+00    1.69462E-02   -3.63462E+01
   121    3.40404E+03    1.05653E+00    1.67243E-02   -3.68969E+01
   122    3.43786E+03    1.06490E+00    1.64993E-02   -3.74370E+01
   123    3.47176E+03    1.07285E+00    1.62716E-02   -3.79658E+01
   124    3.50573E+03    1.08035E+00    1.60415E-02   -3.84828E+01
   125    3.53977E+03    1.08742E+00    1.58091E-02   -3.89874E+01
   126    3.57386E+03    1.09403E+00    1.55748E-02   -3.94792E+01
   127    3.60799E+03    1.10019E+00    1.53387E-02   -3.99576E+01
   128    3.64215E+03    1.10588E+00    1.51013E-02   -4.04221E+01
   129    3.67634E+03    1.11109E+00    1.48626E-02   -4.08722E+01
   130    3.71054E+03    1.11583E+00    1.46230E-02   -4.13073E+01
   131    3.74475E+03    1.12008E+00    1.43828E-02   -4.17269E+01
   132    3.77895E+03    1.12385E+00    1.41420E-02   -4.21306E+01
   133    3.81314E+03    1.12712E+00    1.39010E-02   -4.25178E+01
   134    3.84731E+03    1.12991E+00    1.36599E-02   -4.28882E+01
   135    3.88146E+03    1.13219E+00    1.34189E-02   -4.32413E+01
   136    3.91558E+03    1.13398E+00    1.31781E-02   -4.35765E+01
   137    3.94965E+03    1.13527E+00    1.29379E-02   -4.38935E+01
   138    3.98368E+03    1.13606E+00    1.26982E-02   -4.41918E+01
   139    4.01764E+03    1.13636E+00    1.24594E-02   -4.44710E+01
   140    4.05155E+03    1.13615E+00    1.22217E-02   -4.47308E+01
   141    4.08538E+03    1.13545E+00    1.19852E-02   -4.49707E+01
   142    4.11913E+03    1.13426E+00    1.17500E-02   -4.51904E+01
   143    4.15280E+03    1.13258E+00    1.15165E-02   -4.53894E+01
   144    4.18637E+03    1.13042E+00    1.12848E-02   -4.55674E+01
   145    4.21984E+03    1.12776E+00    1.10550E-02   -4.57239E+01
   146    4.25317E+03    1.12463E+00    1.08274E-02   -4.58587E+01
   147    4.28637E+03    1.12104E+00    1.06022E-02   -4.59713E+01
   148    4.31942E+03    1.11698E+00    1.03795E-02   -4.60612E+01
   149    4.35231E+03    1.11246E+00    1.01595E-02   -4.61282E+01
   150    4.38501E+03    1.10750E+00    9.94245E-03   -4.61718E+01
   151    4.41752E+03    1.10209E+00    9.72847E-03   -4.61918E+01
   152    4.44983E+03    1.09625E+00    9.51767E-03   -4.61877E+01
   153    4.48194E+03    1.08999E+00    9.31009E-03   -4.61594E+01
   154    4.51383E+03    1.08333E+00    9.10582E-03   -4.61067E+01
   155    4.54551E+03    1.07626E+00    8.90490E-03   -4.60293E+01
   156    4.57699E+03    1.06882E+00    8.70740E-03   -4.59269E+01
   157    4.60822E+03    1.06099E+00    8.51339E-03   -4.57992E+01
   158    4.63924E+03    1.05282E+00    8.32293E-03   -4.56461E+01
   159    4.67001E+03    1.04429E+00    8.13608E-03   -4.54674E+01
   160    4.70054E+03    1.03543E+00    7.95290E-03   -4.52628E+01
   161    4.73079E+03    1.02627E+00    7.77346E-03   -4.50321E+01
   162    4.76076E+03    1.01680E+00    7.59783E-03   -4.47753E+01
   163    4.79045E+03    1.00707E+00    7.42606E-03   -4.44918E+01
   164    4.81983E+03    9.97068E-01    7.25821E-03   -4.41818E+01
   165    4.84890E+03    9.86822E-01    7.09436E-03   -4.38450E+01
   166    4.87765E+03    9.76353E-01    6.93456E-03   -4.34812E+01
   167    4.90606E+03    9.65684E-01    6.77889E-03   -4.30903E+01
   168    4.93413E+03    9.54837E-01    6.62739E-03   -4.26725E+01
   169    4.96185E+03    9.43835E-01    6.48013E-03   -4.22274E+01
   170    4.98921E+03    9.32692E-01    6.33719E-03   -4.17552E+01
   171    5.01620E+03    9.21439E-01    6.19861E-03   -4.12556E+01
   172    5.04283E+03    9.10098E-01    6.06447E-03   -4.07288E+01
