#    L    TT             EE             BB             TE         
    91    2.42364E+03    6.33488E-01    0.00000E+00   -1.73046E+01
    92    2.45299E+03    6.48917E-01    0.00000E+00   -1.79396E+01
    93    2.48255E+03    6.64314E-01    0.00000E+00   -1.85790E+01
    94    2.51234E+03    6.79669E-01    0.00000E+00   -1.92227E+01
    95    2.54235E+03    6.94966E-01    0.00000E+00   -1.98701E+01
    96    2.57259E+03    7.10190E-01    0.00000E+00   -2.05208E+01
    97    2.60305E+03    7.25327E-01    0.00000E+00   -2.11744E+01
    98    2.63375E+03    7.40363E-01    0.00000E+00   -2.18305E+01
    99    2.66465E+03    7.55282E-01    0.00000E+00   -2.24885E+01
   100    2.69578E+03    7.70073E-01    0.00000E+00   -2.31479E+01
   101    2.72713E+03    7.84723E-01    0.00000E+00   -2.38083E+01
   102    2.75869E+03    7.99208E-01    0.00000E+00   -2.44694E+01
   103    2.79046E+03    8.13530E-01    0.00000E+00   -2.51302E+01
   104    2.82243E+03    8.27658E-01    0.00000E+00   -2.57906E+01
   105    2.85460E+03    8.41585E-01    0.00000E+00   -2.64499E+01
   106    2.88696E+03    8.55298E-01    0.00000E+00   -2.71075E+01
   107    2.91950E+03    8.68788E-01    0.00000E+00   -2.77628E+01
   108    2.95221E+03    8.82035E-01    0.00000E+00   -2.84155E+01
   109    2.98510E+03    8.95030E-01    0.00000E+00   -2.90647E+01
   110    3.01814E+03    9.07751E-01    0.00000E+00   -2.97101E+01
   111    3.05134E+03    9.20192E-01    0.00000E+00   -3.03511E+01
   112    3.08470E+03    9.32345E-01    0.00000E+00   -3.09871E+01
   113    3.11819E+03    9.44188E-01    0.00000E+00   -3.16175E+01
   114    3.15182E+03    9.55705E-01    0.00000E+00   -3.22418E+01
   115    3.18558E+03    9.66897E-01    0.00000E+00   -3.28593E+01
   116    3.21946E+03    9.77748E-01    0.00000E+00   -3.34696E+01
   117    3.25346E+03    9.88237E-01    0.00000E+00   -3.40720E+01
   118    3.28756E+03    9.98363E-01    0.00000E+00   -3.46659E+01
   119    3.32176E+03    1.00811E+00    0.00000E+00   -3.52508E+01
   120    3.35605E+03    1.01747E+00    0.00000E+00   -3.58262E+01
   121    3.39041E+03    1.02644E+00    0.00000E+00   -3.63914E+01
   122    3.42485E+03    1.03499E+00    0.00000E+00   -3.69459E+01
   123    3.45934E+03    1.04313E+00    0.00000E+00   -3.74892E+01
   124    3.49390E+03    1.05084E+00    0.00000E+00   -3.80206E+01
   125    3.52849E+03    1.05812E+00    0.00000E+00   -3.85396E+01
   126    3.56311E+03    1.06495E+00    0.00000E+00   -3.90458E+01
   127    3.59776E+03    1.07134E+00    0.00000E+00   -3.95384E+01
   128    3.63242E+03    1.07727E+00    0.00000E+00   -4.00171E+01
   129    3.66709E+03    1.08273E+00    0.00000E+00   -4.04813E+01
   130    3.70176E+03    1.08772E+00    0.00000E+00   -4.09303E+01
   131    3.73641E+03    1.09224E+00    0.00000E+00   -4.13638E+01
   132    3.77104E+03    1.09628E+00    0.00000E+00   -4.17812E+01
   133    3.80564E+03    1.09983E+00    0.00000E+00   -4.21821E+01
   134    3.84021E+03    1.10291E+00    0.00000E+00   -4.25659E+01
   135    3.87473E+03    1.10549E+00    0.00000E+00   -4.29323E+01
   136    3.90920E+03    1.10758E+00    0.00000E+00   -4.32806E+01
   137    3.94362E+03    1.10917E+00    0.00000E+00   -4.36105E+01
   138    3.97798E+03    1.11028E+00    0.00000E+00   -4.39216E+01
   139    4.01225E+03    1.11089E+00    0.00000E+00   -4.42135E+01
   140    4.04646E+03    1.11101E+00    0.00000E+00   -4.44857E+01
