#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   581   0.240525E+04   0.289989E+02   0.412788E-05   0.289989E+02   0.142675E+02  -0.442819E-06   0.412788E-05  -0.442819E-06   0.142412E-07
   582   0.239692E+04   0.294703E+02   0.417134E-05   0.294703E+02   0.145333E+02  -0.456876E-06   0.417134E-05  -0.456876E-06   0.142016E-07
   583   0.238852E+04   0.299099E+02   0.421538E-05   0.299099E+02   0.148021E+02  -0.470850E-06   0.421538E-05  -0.470850E-06   0.141621E-07
   584   0.238004E+04   0.303192E+02   0.426000E-05   0.303192E+02   0.150739E+02  -0.484740E-06   0.426000E-05  -0.484740E-06   0.141228E-07
   585   0.237149E+04   0.306967E+02   0.430517E-05   0.306967E+02   0.153488E+02  -0.498544E-06   0.430517E-05  -0.498544E-06   0.140837E-07
   586   0.236278E+04   0.310424E+02   0.435089E-05   0.310424E+02   0.156260E+02  -0.512259E-06   0.435089E-05  -0.512259E-06   0.140447E-07
   587   0.235407E+04   0.313562E+02   0.439716E-05   0.313562E+02   0.159069E+02  -0.525883E-06   0.439716E-05  -0.525883E-06   0.140059E-07
   588   0.234520E+04   0.316367E+02   0.444395E-05   0.316367E+02   0.161902E+02  -0.539415E-06   0.444395E-05  -0.539415E-06   0.139672E-07
   589   0.233626E+04   0.318854E+02   0.449126E-05   0.318854E+02   0.164765E+02  -0.552851E-06   0.449126E-05  -0.552851E-06   0.139287E-07
   590   0.232725E+04   0.321015E+02   0.453907E-05   0.321015E+02   0.167643E+02  -0.566190E-06   0.453907E-05  -0.566190E-06   0.138904E-07
   591   0.231823E+04   0.322841E+02   0.458738E-05   0.322841E+02   0.170559E+02  -0.579430E-06   0.458738E-05  -0.579430E-06   0.138522E-07
   592   0.230913E+04   0.324327E+02   0.463617E-05   0.324327E+02   0.173483E+02  -0.592567E-06   0.463617E-05  -0.592567E-06   0.138141E-07
   593   0.229996E+04   0.325493E+02   0.468543E-05   0.325493E+02   0.176445E+02  -0.605600E-06   0.468543E-05  -0.605600E-06   0.137762E-07
   594   0.229064E+04   0.326310E+02   0.473516E-05   0.326310E+02   0.179422E+02  -0.618527E-06   0.473516E-05  -0.618527E-06   0.137385E-07
   595   0.228131E+04   0.326801E+02   0.478533E-05   0.326801E+02   0.182408E+02  -0.631346E-06   0.478533E-05  -0.631346E-06   0.137009E-07
   596   0.227206E+04   0.326942E+02   0.483594E-05   0.326942E+02   0.185430E+02  -0.644054E-06   0.483594E-05  -0.644054E-06   0.136634E-07
   597   0.226273E+04   0.326748E+02   0.488699E-05   0.326748E+02   0.188447E+02  -0.656649E-06   0.488699E-05  -0.656649E-06   0.136261E-07
   598   0.225354E+04   0.326212E+02   0.493844E-05   0.326212E+02   0.191493E+02  -0.669128E-06   0.493844E-05  -0.669128E-06   0.135890E-07
   599   0.224421E+04   0.325341E+02   0.499030E-05   0.325341E+02   0.194554E+02  -0.681491E-06   0.499030E-05  -0.681491E-06   0.135520E-07
   600   0.223480E+04   0.324121E+02   0.504256E-05   0.324121E+02   0.197631E+02  -0.693734E-06   0.504256E-05  -0.693734E-06   0.135151E-07
   601   0.222539E+04   0.322558E+02   0.509520E-05   0.322558E+02   0.200724E+02  -0.705855E-06   0.509520E-05  -0.705855E-06   0.134784E-07
   602   0.221597E+04   0.320644E+02   0.514821E-05   0.320644E+02   0.203817E+02  -0.717854E-06   0.514821E-05  -0.717854E-06   0.134419E-07
   603   0.220649E+04   0.318403E+02   0.520158E-05   0.318403E+02   0.206932E+02  -0.729729E-06   0.520158E-05  -0.729729E-06   0.134055E-07
   604   0.219714E+04   0.315812E+02   0.525530E-05   0.315812E+02   0.210048E+02  -0.741481E-06   0.525530E-05  -0.741481E-06   0.133692E-07
   605   0.218773E+04   0.312879E+02   0.530936E-05   0.312879E+02   0.213172E+02  -0.753109E-06   0.530936E-05  -0.753109E-06   0.133331E-07
   606   0.217838E+04   0.309604E+02   0.536375E-05   0.309604E+02   0.216303E+02  -0.764612E-06   0.536375E-05  -0.764612E-06   0.132971E-07
   607   0.216881E+04   0.305986E+02   0.541845E-05   0.305986E+02   0.219442E+02  -0.775989E-06   0.541845E-05  -0.775989E-06   0.132613E-07
   608   0.215947E+04   0.302025E+02   0.547346E-05   0.302025E+02   0.222589E+02  -0.787241E-06   0.547346E-05  -0.787241E-06   0.132256E-07
   609   0.215019E+04   0.297723E+02   0.552877E-05   0.297723E+02   0.225729E+02  -0.798365E-06   0.552877E-05  -0.798365E-06   0.131900E-07
   610   0.214085E+04   0.293079E+02   0.558436E-05   0.293079E+02   0.228869E+02  -0.809362E-06   0.558436E-05  -0.809362E-06   0.131546E-07
   611   0.213157E+04   0.288099E+02   0.564022E-05   0.288099E+02   0.232017E+02  -0.820231E-06   0.564022E-05  -0.820231E-06   0.131193E-07
   612   0.212237E+04   0.282793E+02   0.569635E-05   0.282793E+02   0.235173E+02  -0.830971E-06   0.569635E-05  -0.830971E-06   0.130842E-07
   613   0.211309E+04   0.277137E+02   0.575272E-05   0.277137E+02   0.238298E+02  -0.841582E-06   0.575272E-05  -0.841582E-06   0.130492E-07
   614   0.210397E+04   0.271147E+02   0.580934E-05   0.271147E+02   0.241439E+02  -0.852063E-06   0.580934E-05  -0.852063E-06   0.130144E-07
   615   0.209484E+04   0.264830E+02   0.586618E-05   0.264830E+02   0.244565E+02  -0.862414E-06   0.586618E-05  -0.862414E-06   0.129796E-07
   616   0.208579E+04   0.258186E+02   0.592324E-05   0.258186E+02   0.247699E+02  -0.872634E-06   0.592324E-05  -0.872634E-06   0.129451E-07
   617   0.207688E+04   0.251215E+02   0.598051E-05   0.251215E+02   0.250825E+02  -0.882721E-06   0.598051E-05  -0.882721E-06   0.129106E-07
   618   0.206798E+04   0.243909E+02   0.603797E-05   0.243909E+02   0.253944E+02  -0.892677E-06   0.603797E-05  -0.892677E-06   0.128763E-07
   619   0.205907E+04   0.236299E+02   0.609562E-05   0.236299E+02   0.257063E+02  -0.902499E-06   0.609562E-05  -0.902499E-06   0.128421E-07
   620   0.205039E+04   0.228363E+02   0.615345E-05   0.228363E+02   0.260153E+02  -0.912188E-06   0.615345E-05  -0.912188E-06   0.128081E-07
   621   0.204164E+04   0.220107E+02   0.621143E-05   0.220107E+02   0.263242E+02  -0.921743E-06   0.621143E-05  -0.921743E-06   0.127742E-07
   622   0.203303E+04   0.211532E+02   0.626957E-05   0.211532E+02   0.266316E+02  -0.931162E-06   0.626957E-05  -0.931162E-06   0.127404E-07
   623   0.202457E+04   0.202660E+02   0.632785E-05   0.202660E+02   0.269368E+02  -0.940447E-06   0.632785E-05  -0.940447E-06   0.127068E-07
   624   0.201612E+04   0.193477E+02   0.638626E-05   0.193477E+02   0.272405E+02  -0.949595E-06   0.638626E-05  -0.949595E-06   0.126733E-07
   625   0.200773E+04   0.183982E+02   0.644479E-05   0.183982E+02   0.275427E+02  -0.958606E-06   0.644479E-05  -0.958606E-06   0.126399E-07
   626   0.199950E+04   0.174190E+02   0.650342E-05   0.174190E+02   0.278434E+02  -0.967480E-06   0.650342E-05  -0.967480E-06   0.126067E-07
   627   0.199142E+04   0.164102E+02   0.656215E-05   0.164102E+02   0.281419E+02  -0.976216E-06   0.656215E-05  -0.976216E-06   0.125735E-07
   628   0.198341E+04   0.153717E+02   0.662097E-05   0.153717E+02   0.284381E+02  -0.984814E-06   0.662097E-05  -0.984814E-06   0.125406E-07
   629   0.197556E+04   0.143043E+02   0.667986E-05   0.143043E+02   0.287321E+02  -0.993272E-06   0.667986E-05  -0.993272E-06   0.125077E-07
   630   0.196770E+04   0.132072E+02   0.673882E-05   0.132072E+02   0.290238E+02  -0.100159E-05   0.673882E-05  -0.100159E-05   0.124750E-07
   631   0.196000E+04   0.120835E+02   0.679783E-05   0.120835E+02   0.293132E+02  -0.100977E-05   0.679783E-05  -0.100977E-05   0.124424E-07
   632   0.195252E+04   0.109309E+02   0.685688E-05   0.109309E+02   0.295997E+02  -0.101781E-05   0.685688E-05  -0.101781E-05   0.124099E-07
   633   0.194504E+04   0.975166E+01   0.691596E-05   0.975166E+01   0.298846E+02  -0.102570E-05   0.691596E-05  -0.102570E-05   0.123776E-07
   634   0.193778E+04   0.854575E+01   0.697506E-05   0.854575E+01   0.301650E+02  -0.103345E-05   0.697506E-05  -0.103345E-05   0.123453E-07
   635   0.193068E+04   0.731356E+01   0.703417E-05   0.731356E+01   0.304439E+02  -0.104106E-05   0.703417E-05  -0.104106E-05   0.123132E-07
   636   0.192358E+04   0.605577E+01   0.709328E-05   0.605577E+01   0.307206E+02  -0.104853E-05   0.709328E-05  -0.104853E-05   0.122813E-07
   637   0.191670E+04   0.477180E+01   0.715238E-05   0.477180E+01   0.309920E+02  -0.105585E-05   0.715238E-05  -0.105585E-05   0.122494E-07
   638   0.190997E+04   0.346379E+01   0.721145E-05   0.346379E+01   0.312619E+02  -0.106303E-05   0.721145E-05  -0.106303E-05   0.122177E-07
   639   0.190340E+04   0.213080E+01   0.727048E-05   0.213080E+01   0.315272E+02  -0.107006E-05   0.727048E-05  -0.107006E-05   0.121861E-07
   640   0.189697E+04   0.774412E+00   0.732947E-05   0.774412E+00   0.317903E+02  -0.107695E-05   0.732947E-05  -0.107695E-05   0.121546E-07
   641   0.189070E+04  -0.605386E+00   0.738841E-05  -0.605386E+00   0.320496E+02  -0.108369E-05   0.738841E-05  -0.108369E-05   0.121233E-07
   642   0.188450E+04  -0.200782E+01   0.744727E-05  -0.200782E+01   0.323044E+02  -0.109028E-05   0.744727E-05  -0.109028E-05   0.120920E-07
   643   0.187853E+04  -0.343240E+01   0.750606E-05  -0.343240E+01   0.325570E+02  -0.109673E-05   0.750606E-05  -0.109673E-05   0.120609E-07
   644   0.187279E+04  -0.487844E+01   0.756475E-05  -0.487844E+01   0.328035E+02  -0.110302E-05   0.756475E-05  -0.110302E-05   0.120299E-07
   645   0.186712E+04  -0.634566E+01   0.762334E-05  -0.634566E+01   0.330470E+02  -0.110917E-05   0.762334E-05  -0.110917E-05   0.119990E-07
   646   0.186160E+04  -0.783336E+01   0.768183E-05  -0.783336E+01   0.332867E+02  -0.111516E-05   0.768183E-05  -0.111516E-05   0.119683E-07
   647   0.185639E+04  -0.934141E+01   0.774018E-05  -0.934141E+01   0.335219E+02  -0.112101E-05   0.774018E-05  -0.112101E-05   0.119376E-07
   648   0.185118E+04  -0.108679E+02   0.779841E-05  -0.108679E+02   0.337533E+02  -0.112671E-05   0.779841E-05  -0.112671E-05   0.119071E-07
   649   0.184626E+04  -0.124134E+02   0.785649E-05  -0.124134E+02   0.339794E+02  -0.113225E-05   0.785649E-05  -0.113225E-05   0.118767E-07
   650   0.184150E+04  -0.139767E+02   0.791441E-05  -0.139767E+02   0.342010E+02  -0.113764E-05   0.791441E-05  -0.113764E-05   0.118464E-07
   651   0.183690E+04  -0.155576E+02   0.797217E-05  -0.155576E+02   0.344195E+02  -0.114288E-05   0.797217E-05  -0.114288E-05   0.118162E-07
   652   0.183244E+04  -0.171553E+02   0.802975E-05  -0.171553E+02   0.346328E+02  -0.114797E-05   0.802975E-05  -0.114797E-05   0.117862E-07
   653   0.182829E+04  -0.187685E+02   0.808714E-05  -0.187685E+02   0.348400E+02  -0.115290E-05   0.808714E-05  -0.115290E-05   0.117562E-07
   654   0.182421E+04  -0.203962E+02   0.814434E-05  -0.203962E+02   0.350435E+02  -0.115768E-05   0.814434E-05  -0.115768E-05   0.117264E-07
   655   0.182028E+04  -0.220393E+02   0.820135E-05  -0.220393E+02   0.352424E+02  -0.116232E-05   0.820135E-05  -0.116232E-05   0.116966E-07
   656   0.181666E+04  -0.236963E+02   0.825814E-05  -0.236963E+02   0.354360E+02  -0.116680E-05   0.825814E-05  -0.116680E-05   0.116670E-07
   657   0.181319E+04  -0.253656E+02   0.831471E-05  -0.253656E+02   0.356244E+02  -0.117113E-05   0.831471E-05  -0.117113E-05   0.116375E-07
   658   0.180980E+04  -0.270479E+02   0.837105E-05  -0.270479E+02   0.358082E+02  -0.117531E-05   0.837105E-05  -0.117531E-05   0.116081E-07
   659   0.180678E+04  -0.287419E+02   0.842716E-05  -0.287419E+02   0.359867E+02  -0.117933E-05   0.842716E-05  -0.117933E-05   0.115789E-07
   660   0.180391E+04  -0.304466E+02   0.848303E-05  -0.304466E+02   0.361592E+02  -0.118321E-05   0.848303E-05  -0.118321E-05   0.115497E-07
   661   0.180120E+04  -0.321606E+02   0.853864E-05  -0.321606E+02   0.363264E+02  -0.118695E-05   0.853864E-05  -0.118695E-05   0.115207E-07
   662   0.179872E+04  -0.338855E+02   0.859399E-05  -0.338855E+02   0.364890E+02  -0.119053E-05   0.859399E-05  -0.119053E-05   0.114917E-07
   663   0.179638E+04  -0.356195E+02   0.864906E-05  -0.356195E+02   0.366464E+02  -0.119396E-05   0.864906E-05  -0.119396E-05   0.114629E-07
   664   0.179428E+04  -0.373606E+02   0.870386E-05  -0.373606E+02   0.367970E+02  -0.119725E-05   0.870386E-05  -0.119725E-05   0.114341E-07
   665   0.179232E+04  -0.391095E+02   0.875838E-05  -0.391095E+02   0.369423E+02  -0.120038E-05   0.875838E-05  -0.120038E-05   0.114055E-07
   666   0.179060E+04  -0.408646E+02   0.881259E-05  -0.408646E+02   0.370823E+02  -0.120338E-05   0.881259E-05  -0.120338E-05   0.113770E-07
   667   0.178910E+04  -0.426259E+02   0.886650E-05  -0.426259E+02   0.372163E+02  -0.120622E-05   0.886650E-05  -0.120622E-05   0.113486E-07
   668   0.178768E+04  -0.443927E+02   0.892010E-05  -0.443927E+02   0.373450E+02  -0.120892E-05   0.892010E-05  -0.120892E-05   0.113203E-07
   669   0.178663E+04  -0.461635E+02   0.897337E-05  -0.461635E+02   0.374676E+02  -0.121147E-05   0.897337E-05  -0.121147E-05   0.112921E-07
   670   0.178566E+04  -0.479367E+02   0.902632E-05  -0.479367E+02   0.375843E+02  -0.121387E-05   0.902632E-05  -0.121387E-05   0.112640E-07
   671   0.178500E+04  -0.497139E+02   0.907892E-05  -0.497139E+02   0.376963E+02  -0.121613E-05   0.907892E-05  -0.121613E-05   0.112360E-07
   672   0.178441E+04  -0.514935E+02   0.913118E-05  -0.514935E+02   0.378009E+02  -0.121825E-05   0.913118E-05  -0.121825E-05   0.112082E-07
   673   0.178413E+04  -0.532733E+02   0.918308E-05  -0.532733E+02   0.379008E+02  -0.122022E-05   0.918308E-05  -0.122022E-05   0.111804E-07
   674   0.178399E+04  -0.550540E+02   0.923462E-05  -0.550540E+02   0.379940E+02  -0.122204E-05   0.923462E-05  -0.122204E-05   0.111527E-07
   675   0.178409E+04  -0.568349E+02   0.928578E-05  -0.568349E+02   0.380812E+02  -0.122373E-05   0.928578E-05  -0.122373E-05   0.111251E-07
   676   0.178434E+04  -0.586137E+02   0.933656E-05  -0.586137E+02   0.381623E+02  -0.122526E-05   0.933656E-05  -0.122526E-05   0.110977E-07
   677   0.178481E+04  -0.603911E+02   0.938695E-05  -0.603911E+02   0.382374E+02  -0.122666E-05   0.938695E-05  -0.122666E-05   0.110703E-07
   678   0.178552E+04  -0.621663E+02   0.943694E-05  -0.621663E+02   0.383057E+02  -0.122791E-05   0.943694E-05  -0.122791E-05   0.110431E-07
   679   0.178637E+04  -0.639380E+02   0.948652E-05  -0.639380E+02   0.383686E+02  -0.122902E-05   0.948652E-05  -0.122902E-05   0.110159E-07
   680   0.178753E+04  -0.657060E+02   0.953569E-05  -0.657060E+02   0.384256E+02  -0.122999E-05   0.953569E-05  -0.122999E-05   0.109888E-07
   681   0.178884E+04  -0.674681E+02   0.958443E-05  -0.674681E+02   0.384757E+02  -0.123082E-05   0.958443E-05  -0.123082E-05   0.109619E-07
   682   0.179031E+04  -0.692258E+02   0.963273E-05  -0.692258E+02   0.385191E+02  -0.123150E-05   0.963273E-05  -0.123150E-05   0.109350E-07
   683   0.179207E+04  -0.709783E+02   0.968060E-05  -0.709783E+02   0.385579E+02  -0.123205E-05   0.968060E-05  -0.123205E-05   0.109082E-07
   684   0.179392E+04  -0.727234E+02   0.972801E-05  -0.727234E+02   0.385884E+02  -0.123245E-05   0.972801E-05  -0.123245E-05   0.108816E-07
   685   0.179591E+04  -0.744611E+02   0.977496E-05  -0.744611E+02   0.386136E+02  -0.123271E-05   0.977496E-05  -0.123271E-05   0.108550E-07
   686   0.179814E+04  -0.761823E+02   0.982145E-05  -0.761823E+02   0.386320E+02  -0.123284E-05   0.982145E-05  -0.123284E-05   0.108285E-07
   687   0.180067E+04  -0.778984E+02   0.986746E-05  -0.778984E+02   0.386451E+02  -0.123282E-05   0.986746E-05  -0.123282E-05   0.108022E-07
   688   0.180328E+04  -0.796069E+02   0.991298E-05  -0.796069E+02   0.386507E+02  -0.123267E-05   0.991298E-05  -0.123267E-05   0.107759E-07
   689   0.180611E+04  -0.813005E+02   0.995801E-05  -0.813005E+02   0.386502E+02  -0.123237E-05   0.995801E-05  -0.123237E-05   0.107497E-07
   690   0.180910E+04  -0.829866E+02   0.100025E-04  -0.829866E+02   0.386444E+02  -0.123194E-05   0.100025E-04  -0.123194E-05   0.107236E-07
   691   0.181232E+04  -0.846577E+02   0.100465E-04  -0.846577E+02   0.386303E+02  -0.123137E-05   0.100465E-04  -0.123137E-05   0.106976E-07
   692   0.181569E+04  -0.863138E+02   0.100900E-04  -0.863138E+02   0.386116E+02  -0.123066E-05   0.100900E-04  -0.123066E-05   0.106717E-07
   693   0.181928E+04  -0.879623E+02   0.101330E-04  -0.879623E+02   0.385862E+02  -0.122982E-05   0.101330E-04  -0.122982E-05   0.106459E-07
   694   0.182296E+04  -0.895884E+02   0.101754E-04  -0.895884E+02   0.385539E+02  -0.122884E-05   0.101754E-04  -0.122884E-05   0.106202E-07
   695   0.182694E+04  -0.911994E+02   0.102173E-04  -0.911994E+02   0.385171E+02  -0.122772E-05   0.102173E-04  -0.122772E-05   0.105946E-07
   696   0.183107E+04  -0.928103E+02   0.102586E-04  -0.928103E+02   0.384727E+02  -0.122646E-05   0.102586E-04  -0.122646E-05   0.105691E-07
   697   0.183536E+04  -0.943912E+02   0.102994E-04  -0.943912E+02   0.384222E+02  -0.122507E-05   0.102994E-04  -0.122507E-05   0.105436E-07
   698   0.183980E+04  -0.959570E+02   0.103396E-04  -0.959570E+02   0.383650E+02  -0.122355E-05   0.103396E-04  -0.122355E-05   0.105183E-07
   699   0.184440E+04  -0.975003E+02   0.103792E-04  -0.975003E+02   0.383024E+02  -0.122189E-05   0.103792E-04  -0.122189E-05   0.104930E-07
   700   0.184922E+04  -0.990285E+02   0.104182E-04  -0.990285E+02   0.382331E+02  -0.122009E-05   0.104182E-04  -0.122009E-05   0.104679E-07
   701   0.185420E+04  -0.100542E+03   0.104567E-04  -0.100542E+03   0.381576E+02  -0.121816E-05   0.104567E-04  -0.121816E-05   0.104428E-07
   702   0.185933E+04  -0.102025E+03   0.104945E-04  -0.102025E+03   0.380769E+02  -0.121610E-05   0.104945E-04  -0.121610E-05   0.104178E-07
   703   0.186461E+04  -0.103507E+03   0.105317E-04  -0.103507E+03   0.379893E+02  -0.121391E-05   0.105317E-04  -0.121391E-05   0.103929E-07
   704   0.187005E+04  -0.104952E+03   0.105684E-04  -0.104952E+03   0.378964E+02  -0.121158E-05   0.105684E-04  -0.121158E-05   0.103681E-07
   705   0.187557E+04  -0.106375E+03   0.106044E-04  -0.106375E+03   0.377967E+02  -0.120912E-05   0.106044E-04  -0.120912E-05   0.103434E-07
   706   0.188131E+04  -0.107783E+03   0.106398E-04  -0.107783E+03   0.376917E+02  -0.120654E-05   0.106398E-04  -0.120654E-05   0.103188E-07
   707   0.188714E+04  -0.109167E+03   0.106746E-04  -0.109167E+03   0.375807E+02  -0.120382E-05   0.106746E-04  -0.120382E-05   0.102942E-07
   708   0.189326E+04  -0.110515E+03   0.107088E-04  -0.110515E+03   0.374643E+02  -0.120098E-05   0.107088E-04  -0.120098E-05   0.102698E-07
   709   0.189939E+04  -0.111854E+03   0.107423E-04  -0.111854E+03   0.373419E+02  -0.119801E-05   0.107423E-04  -0.119801E-05   0.102454E-07
   710   0.190575E+04  -0.113164E+03   0.107753E-04  -0.113164E+03   0.372134E+02  -0.119491E-05   0.107753E-04  -0.119491E-05   0.102211E-07
   711   0.191219E+04  -0.114443E+03   0.108076E-04  -0.114443E+03   0.370796E+02  -0.119169E-05   0.108076E-04  -0.119169E-05   0.101969E-07
   712   0.191878E+04  -0.115707E+03   0.108393E-04  -0.115707E+03   0.369406E+02  -0.118834E-05   0.108393E-04  -0.118834E-05   0.101728E-07
   713   0.192559E+04  -0.116934E+03   0.108704E-04  -0.116934E+03   0.367954E+02  -0.118487E-05   0.108704E-04  -0.118487E-05   0.101488E-07
   714   0.193234E+04  -0.118138E+03   0.109009E-04  -0.118138E+03   0.366457E+02  -0.118128E-05   0.109009E-04  -0.118128E-05   0.101249E-07
   715   0.193932E+04  -0.119319E+03   0.109307E-04  -0.119319E+03   0.364900E+02  -0.117757E-05   0.109307E-04  -0.117757E-05   0.101010E-07
   716   0.194644E+04  -0.120470E+03   0.109599E-04  -0.120470E+03   0.363289E+02  -0.117373E-05   0.109599E-04  -0.117373E-05   0.100772E-07
   717   0.195365E+04  -0.121583E+03   0.109885E-04  -0.121583E+03   0.361633E+02  -0.116978E-05   0.109885E-04  -0.116978E-05   0.100535E-07
   718   0.196093E+04  -0.122681E+03   0.110164E-04  -0.122681E+03   0.359924E+02  -0.116571E-05   0.110164E-04  -0.116571E-05   0.100299E-07
   719   0.196837E+04  -0.123734E+03   0.110437E-04  -0.123734E+03   0.358148E+02  -0.116151E-05   0.110437E-04  -0.116151E-05   0.100064E-07
   720   0.197581E+04  -0.124772E+03   0.110704E-04  -0.124772E+03   0.356333E+02  -0.115721E-05   0.110704E-04  -0.115721E-05   0.998295E-08
   721   0.198355E+04  -0.125764E+03   0.110964E-04  -0.125764E+03   0.354480E+02  -0.115278E-05   0.110964E-04  -0.115278E-05   0.995959E-08
   722   0.199121E+04  -0.126727E+03   0.111218E-04  -0.126727E+03   0.352566E+02  -0.114824E-05   0.111218E-04  -0.114824E-05   0.993631E-08
   723   0.199904E+04  -0.127666E+03   0.111465E-04  -0.127666E+03   0.350615E+02  -0.114359E-05   0.111465E-04  -0.114359E-05   0.991311E-08
   724   0.200694E+04  -0.128576E+03   0.111706E-04  -0.128576E+03   0.348610E+02  -0.113882E-05   0.111706E-04  -0.113882E-05   0.988999E-08
   725   0.201491E+04  -0.129448E+03   0.111940E-04  -0.129448E+03   0.346568E+02  -0.113394E-05   0.111940E-04  -0.113394E-05   0.986695E-08
   726   0.202304E+04  -0.130282E+03   0.112168E-04  -0.130282E+03   0.344495E+02  -0.112895E-05   0.112168E-04  -0.112895E-05   0.984399E-08
   727   0.203117E+04  -0.131093E+03   0.112389E-04  -0.131093E+03   0.342362E+02  -0.112384E-05   0.112389E-04  -0.112384E-05   0.982111E-08
   728   0.203938E+04  -0.131866E+03   0.112604E-04  -0.131866E+03   0.340176E+02  -0.111863E-05   0.112604E-04  -0.111863E-05   0.979831E-08
   729   0.204767E+04  -0.132609E+03   0.112812E-04  -0.132609E+03   0.337959E+02  -0.111331E-05   0.112812E-04  -0.111331E-05   0.977559E-08
   730   0.205596E+04  -0.133315E+03   0.113014E-04  -0.133315E+03   0.335704E+02  -0.110788E-05   0.113014E-04  -0.110788E-05   0.975294E-08
   731   0.206447E+04  -0.133983E+03   0.113208E-04  -0.133983E+03   0.333397E+02  -0.110234E-05   0.113208E-04  -0.110234E-05   0.973037E-08
   732   0.207291E+04  -0.134613E+03   0.113397E-04  -0.134613E+03   0.331074E+02  -0.109669E-05   0.113397E-04  -0.109669E-05   0.970788E-08
   733   0.208151E+04  -0.135220E+03   0.113578E-04  -0.135220E+03   0.328698E+02  -0.109095E-05   0.113578E-04  -0.109095E-05   0.968547E-08
   734   0.209011E+04  -0.135774E+03   0.113753E-04  -0.135774E+03   0.326291E+02  -0.108509E-05   0.113753E-04  -0.108509E-05   0.966313E-08
   735   0.209878E+04  -0.136313E+03   0.113921E-04  -0.136313E+03   0.323840E+02  -0.107913E-05   0.113921E-04  -0.107913E-05   0.964087E-08
   736   0.210738E+04  -0.136799E+03   0.114082E-04  -0.136799E+03   0.321357E+02  -0.107307E-05   0.114082E-04  -0.107307E-05   0.961869E-08
   737   0.211613E+04  -0.137263E+03   0.114237E-04  -0.137263E+03   0.318852E+02  -0.106691E-05   0.114237E-04  -0.106691E-05   0.959658E-08
   738   0.212481E+04  -0.137673E+03   0.114384E-04  -0.137673E+03   0.316317E+02  -0.106065E-05   0.114384E-04  -0.106065E-05   0.957454E-08
   739   0.213357E+04  -0.138054E+03   0.114525E-04  -0.138054E+03   0.313743E+02  -0.105428E-05   0.114525E-04  -0.105428E-05   0.955258E-08
   740   0.214233E+04  -0.138404E+03   0.114659E-04  -0.138404E+03   0.311139E+02  -0.104782E-05   0.114659E-04  -0.104782E-05   0.953070E-08
   741   0.215117E+04  -0.138716E+03   0.114787E-04  -0.138716E+03   0.308497E+02  -0.104126E-05   0.114787E-04  -0.104126E-05   0.950889E-08
   742   0.216000E+04  -0.138983E+03   0.114907E-04  -0.138983E+03   0.305855E+02  -0.103460E-05   0.114907E-04  -0.103460E-05   0.948715E-08
   743   0.216884E+04  -0.139219E+03   0.115020E-04  -0.139219E+03   0.303190E+02  -0.102785E-05   0.115020E-04  -0.102785E-05   0.946548E-08
   744   0.217776E+04  -0.139410E+03   0.115127E-04  -0.139410E+03   0.300487E+02  -0.102100E-05   0.115127E-04  -0.102100E-05   0.944389E-08
   745   0.218660E+04  -0.139578E+03   0.115226E-04  -0.139578E+03   0.297761E+02  -0.101405E-05   0.115226E-04  -0.101405E-05   0.942237E-08
   746   0.219537E+04  -0.139686E+03   0.115319E-04  -0.139686E+03   0.295019E+02  -0.100701E-05   0.115319E-04  -0.100701E-05   0.940092E-08
   747   0.220414E+04  -0.139771E+03   0.115405E-04  -0.139771E+03   0.292247E+02  -0.999884E-06   0.115405E-04  -0.999884E-06   0.937954E-08
   748   0.221299E+04  -0.139818E+03   0.115483E-04  -0.139818E+03   0.289468E+02  -0.992660E-06   0.115483E-04  -0.992660E-06   0.935823E-08
   749   0.222184E+04  -0.139834E+03   0.115555E-04  -0.139834E+03   0.286650E+02  -0.985346E-06   0.115555E-04  -0.985346E-06   0.933700E-08
   750   0.223061E+04  -0.139805E+03   0.115619E-04  -0.139805E+03   0.283832E+02  -0.977941E-06   0.115619E-04  -0.977941E-06   0.931583E-08
   751   0.223939E+04  -0.139738E+03   0.115677E-04  -0.139738E+03   0.280991E+02  -0.970447E-06   0.115677E-04  -0.970447E-06   0.929473E-08
   752   0.224817E+04  -0.139626E+03   0.115727E-04  -0.139626E+03   0.278150E+02  -0.962866E-06   0.115727E-04  -0.962866E-06   0.927370E-08
   753   0.225687E+04  -0.139483E+03   0.115770E-04  -0.139483E+03   0.275278E+02  -0.955199E-06   0.115770E-04  -0.955199E-06   0.925275E-08
   754   0.226550E+04  -0.139295E+03   0.115807E-04  -0.139295E+03   0.272406E+02  -0.947447E-06   0.115807E-04  -0.947447E-06   0.923186E-08
   755   0.227420E+04  -0.139076E+03   0.115836E-04  -0.139076E+03   0.269519E+02  -0.939613E-06   0.115836E-04  -0.939613E-06   0.921104E-08
   756   0.228269E+04  -0.138820E+03   0.115859E-04  -0.138820E+03   0.266624E+02  -0.931697E-06   0.115859E-04  -0.931697E-06   0.919028E-08
   757   0.229132E+04  -0.138518E+03   0.115874E-04  -0.138518E+03   0.263728E+02  -0.923703E-06   0.115874E-04  -0.923703E-06   0.916960E-08
   758   0.229973E+04  -0.138178E+03   0.115883E-04  -0.138178E+03   0.260817E+02  -0.915630E-06   0.115883E-04  -0.915630E-06   0.914898E-08
