#    L    TT             EE             BB             TE          
    91   0.255313E+04   0.728764E+00   0.655821E-01  -0.200254E+02
    92   0.257877E+04   0.744697E+00   0.654806E-01  -0.206365E+02
    93   0.260476E+04   0.760568E+00   0.653496E-01  -0.212510E+02
    94   0.263088E+04   0.776340E+00   0.651897E-01  -0.218676E+02
    95   0.265734E+04   0.792013E+00   0.650015E-01  -0.224872E+02
    96   0.268387E+04   0.807572E+00   0.647856E-01  -0.231089E+02
    97   0.271089E+04   0.823003E+00   0.645427E-01  -0.237323E+02
    98   0.273820E+04   0.838298E+00   0.642733E-01  -0.243551E+02
    99   0.276564E+04   0.853421E+00   0.639782E-01  -0.249804E+02
   100   0.279345E+04   0.868371E+00   0.636578E-01  -0.256039E+02
   101   0.282146E+04   0.883209E+00   0.633130E-01  -0.262286E+02
   102   0.285006E+04   0.897785E+00   0.629442E-01  -0.268524E+02
   103   0.287865E+04   0.912174E+00   0.625522E-01  -0.274760E+02
   104   0.290753E+04   0.926377E+00   0.621375E-01  -0.280966E+02
   105   0.293663E+04   0.940318E+00   0.617008E-01  -0.287159E+02
   106   0.296602E+04   0.954074E+00   0.612427E-01  -0.293331E+02
   107   0.299541E+04   0.967494E+00   0.607638E-01  -0.299468E+02
   108   0.302525E+04   0.980654E+00   0.602648E-01  -0.305578E+02
   109   0.305531E+04   0.993480E+00   0.597463E-01  -0.311649E+02
   110   0.308552E+04   0.100597E+01   0.592089E-01  -0.317665E+02
   111   0.311596E+04   0.101820E+01   0.586532E-01  -0.323642E+02
   112   0.314663E+04   0.103010E+01   0.580801E-01  -0.329573E+02
   113   0.317759E+04   0.104166E+01   0.574904E-01  -0.335444E+02
   114   0.320870E+04   0.105282E+01   0.568848E-01  -0.341245E+02
   115   0.324011E+04   0.106371E+01   0.562643E-01  -0.346978E+02
   116   0.327158E+04   0.107413E+01   0.556295E-01  -0.352635E+02
   117   0.330343E+04   0.108413E+01   0.549813E-01  -0.358209E+02
   118   0.333548E+04   0.109388E+01   0.543205E-01  -0.363706E+02
   119   0.336761E+04   0.110322E+01   0.536479E-01  -0.369104E+02
   120   0.339994E+04   0.111201E+01   0.529643E-01  -0.374404E+02
   121   0.343234E+04   0.112053E+01   0.522706E-01  -0.379605E+02
   122   0.346487E+04   0.112850E+01   0.515676E-01  -0.384699E+02
   123   0.349754E+04   0.113599E+01   0.508559E-01  -0.389687E+02
   124   0.353033E+04   0.114308E+01   0.501366E-01  -0.394539E+02
   125   0.356319E+04   0.114968E+01   0.494103E-01  -0.399277E+02
   126   0.359616E+04   0.115588E+01   0.486779E-01  -0.403894E+02
   127   0.362920E+04   0.116152E+01   0.479401E-01  -0.408381E+02
   128   0.366228E+04   0.116675E+01   0.471979E-01  -0.412732E+02
   129   0.369548E+04   0.117143E+01   0.464520E-01  -0.416939E+02
   130   0.372874E+04   0.117556E+01   0.457032E-01  -0.420994E+02
   131   0.376203E+04   0.117928E+01   0.449523E-01  -0.424913E+02
   132   0.379545E+04   0.118245E+01   0.441999E-01  -0.428665E+02
   133   0.382884E+04   0.118514E+01   0.434466E-01  -0.432275E+02
   134   0.386227E+04   0.118736E+01   0.426929E-01  -0.435697E+02
   135   0.389574E+04   0.118902E+01   0.419396E-01  -0.438962E+02
   136   0.392912E+04   0.119014E+01   0.411872E-01  -0.442033E+02
   137   0.396253E+04   0.119079E+01   0.404362E-01  -0.444934E+02
   138   0.399591E+04   0.119089E+01   0.396872E-01  -0.447649E+02
   139   0.402912E+04   0.119059E+01   0.389409E-01  -0.450172E+02
   140   0.406244E+04   0.118968E+01   0.381978E-01  -0.452511E+02
   141   0.409558E+04   0.118822E+01   0.374586E-01  -0.454644E+02
   142   0.412877E+04   0.118630E+01   0.367237E-01  -0.456579E+02
   143   0.416192E+04   0.118391E+01   0.359938E-01  -0.458316E+02
   144   0.419489E+04   0.118098E+01   0.352696E-01  -0.459849E+02
   145   0.422776E+04   0.117767E+01   0.345514E-01  -0.461170E+02
   146   0.426074E+04   0.117374E+01   0.338401E-01  -0.462281E+02
   147   0.429339E+04   0.116943E+01   0.331361E-01  -0.463166E+02
   148   0.432593E+04   0.116458E+01   0.324400E-01  -0.463841E+02
   149   0.435844E+04   0.115928E+01   0.317525E-01  -0.464292E+02
   150   0.439070E+04   0.115359E+01   0.310741E-01  -0.464497E+02
   151   0.442284E+04   0.114745E+01   0.304053E-01  -0.464486E+02
   152   0.445473E+04   0.114078E+01   0.297465E-01  -0.464244E+02
   153   0.448650E+04   0.113372E+01   0.290977E-01  -0.463748E+02
   154   0.451809E+04   0.112629E+01   0.284593E-01  -0.463022E+02
   155   0.454948E+04   0.111848E+01   0.278313E-01  -0.462056E+02
   156   0.458053E+04   0.111030E+01   0.272140E-01  -0.460851E+02
   157   0.461154E+04   0.110174E+01   0.266077E-01  -0.459392E+02
   158   0.464227E+04   0.109287E+01   0.260124E-01  -0.457685E+02
